all_names,entity_type,notes
LAKE HENSHAW RESORT INC.,water_system,
MERRIAM WINERY,water_system,
IRISH HILLS MUTUAL WATER CO,water_system,
CASTLEWOOD MOBILE HOME PARK,water_system,
GARDEN FARMS C.W.D.,water_system,
PRUNEDALE CHEVRON WS,water_system,
PARADISE MOBILE ESTATES,water_system,
HIGUERA APARTMENTS,water_system,
PEDRONCELLI WINERY,water_system,
MC CLELLAN MHP,water_system,
ANTELOPE VALLEY MOBILE ESTATES,water_system,
ROARING CAMP RAILROAD INC,water_system,
KENNOLYN CAMP,water_system,
SEVENTH DAY ADVENTIST CAMP,water_system,
SANTA CRUZ KOA CAMPGROUNDS,water_system,
SPRING HILLS GOLF COURSE,water_system,
KIM SON MONASTERY,water_system,
MOUNT MADONNA CENTER,water_system,
FCPG/LOST LAKE RECREATION AREA,water_system,
ROTH WINERY,water_system,
EAST ORANGE COUNTY WD - RZ,water_system,
CHAMISAL VINEYARDS,water_system,
DEER LODGE WATER SYSTEM,water_system,
EAGLE'S NEST RESORT,water_system,
DARRAH SPRINGS FISH HATCHERY,water_system,
TWIN CYPRESS MOBILE HOME PARK,water_system,
CAL AM - DUNNIGAN,water_system,
ROWLAND WATER DISTRICT,water_system,
CAMPERS INN - RV & GOLF COURSE,water_system,
DUTTON RANCH CORPORATION,water_system,
EAST THREE RIVERS MUTUAL WATER CORP,water_system,
ST FRANCIS TRACT WATER SYSTEM,water_system,
DEL MONTE FARMS RD WS #03,water_system,
EDWARDS AFB - AIR FORCE RESEARCH LAB,water_system,
RANCHO COLINA MOBILE HOME PARK,water_system,
MOUNTAIN MEADOW RANCH,water_system,
FIRE SUPPRESSION CAMP #19,water_system,
LASSEN RV PARK & CAMPGROUND,water_system,
BETHEL ISLAND ESTATES,water_system,
GERBER LAS FLORES CSD,water_system,
SWANTON BERRY FARM,water_system,
FLORISTON WATER SYSTEM,water_system,
FOREST LAKES MWC,water_system,
KKOTTONGNAE RETREAT CAMP,water_system,
THE MARK,water_system,
KEN MAR GARDENS,water_system,
LOS ALTOS ROD AND GUN CLUB,water_system,
APTOS HIGH SCHOOL,water_system,
CSP-NATURE CENTER,water_system,
CABRILLO COLLEGE,water_system,
RENAISSANCE HIGH SCHOOL,water_system,
HIGH DESERT DETENTION CENTER,water_system,
JARVIS MUTUAL WATER SYSTEM,water_system,
GARDEN ACRES MUTUAL WATER CO,water_system,
GIZDICH HOME RANCH,water_system,
GOLD ROCK RANCH,water_system,
GOLDEN HILLS MUTUAL WATER CO,water_system,
LOS ROBLES MOBILE HOME ESTATES,water_system,
"AV THOMAS PRODUCE, INC.",water_system,
HYDESVILLE CO. W.D.,water_system,
GRAN MUTUAL WATER CO,water_system,
FERNBRIDGE CAFE,water_system,
COVE ISLAND RESORT,water_system,
"MODESTO, CITY OF",water_system,
ECONO LODGE INN AND SUITES,water_system,
LAURA CHENEL'S CHEVRE INC.,water_system,
VALLEY CREEK MHP WS,water_system,
ICE HOUSE CAMPGROUND,water_system,
CALVARY CHURCH INC WS,water_system,
EBRPD BLACK DIAMOND MINES,water_system,
ABRAMS LAKE MOBILE ESTATES,water_system,
CALIFORNIA DAIRIES INC TIPTON,water_system,
ORANGE GROVE RV PARK,water_system,
GLACIER LODGE,water_system,
RACK & RIDDLE CUSTOM WINE SERVICES,water_system,
TLC CHILD & FAMILY SERVICES,water_system,
CLEAR CREEK CSD-WESTWOOD,water_system,
BALDWIN BEACH,water_system,
CITY OF ORLAND,water_system,
GAS N SAVE,water_system,
CALTRANS CAMP ROBERTS RSRA SB,water_system,
CAMP WATERMAN MWC,water_system,
SID - ELMIRA,water_system,
SOUTH ECHO SUMMIT TRACT CIVIC,water_system,
CAMP WOLFEBORO,water_system,
MT. VIEW SANITARY DISTRICT,water_system,
SISKIYOU CO.SERVICE AREA #5/CARRICK,water_system,
SOUTH FEATHER W&P - SLY CREEK CAMPGROUND,water_system,
SAN ANDREAS MUTUAL WATER CO,water_system,
KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,water_system,
SPRING CREST WATER & POWER,water_system,
BLUE LAKE SPRINGS MUT WTR,water_system,
EL RANCHO MOBILE HOME PARK,water_system,
LE CUVIER WINERY,water_system,
RUSTIC BAR-B-Q,water_system,
GOLDEN STATE VINTNERS WS,water_system,
RANCHO SECO NGS (SMUD),water_system,
NAVALAIR MOBILE HOME PARK,water_system,
RIPPLEWOOD RESORT WS,water_system,
CITY OF SUNNYVALE,water_system,
SAN MATEO COUNTY MEMORIAL PARK,water_system,
BEAR VALLEY MOUNTAIN RESORT,water_system,
NORTH TAHOE PUD - MAIN,water_system,
NORTH TAHOE PUD - CARNELIAN WOODS,water_system,
NORTH TAHOE PUD - DOLLAR COVE,water_system,
LEAVITT LAKE CSD,water_system,
OAK PARK ESTATES,water_system,
KEDDIE RESORT,water_system,
LAKE WOHLFORD RESORT,water_system,
TWIN HILLS SCHOOL DIST-TWIN HILLS SCHOOL,water_system,
MP MINE OPERATIONS LLC,water_system,
RUBYS VALLEY CARE HOME,water_system,
WILLOWBROOK ALE HOUSE,water_system,
SALT SPRINGS VALLEY RES. & CAMPGRND,water_system,
CITY OF LOYALTON,water_system,
LLANO MUTUAL WATER COMPANY,water_system,
BERNARDO RD WS #02,water_system,
PINNACLES NATIONAL PARK CAMPGROUND,water_system,
MOUNTAIN VIEW ESTATES MWC,water_system,
LARRUPIN CAFE,water_system,
SONOMA SEVENTH DAY ADVENTIST CHURCH,water_system,
AROMAS HILLS MUTUAL WATER ASSOCIATION,water_system,
BIG SUR BAZAAR WS,water_system,
OAK HAVEN ASSOCIATION,water_system,
MYSTERY SPOT SNACK SHACK,water_system,
ELEVATE ADDICTION SERVICES,water_system,
CITY OF WILLIAMS,water_system,
PONDEROSA MOBILE HOME PARK,water_system,
LANCASTER WATER COMPANY,water_system,
RIVERS BEND RESORT,water_system,
GROWERS TRANSPLANTING WS,water_system,
WILD GOOSE DUCK CLUB,water_system,
FIELDBROOK GLENDALE C.S.D.,water_system,
HIGHLANDS MUTUAL WATER COMPANY,water_system,
LAND OF MEDICINE BUDDHA,water_system,
MOUNTAIN ELEMENTARY SCHOOL,water_system,
MONTE VISTA CHRISTIAN SCHOOL,water_system,
SANTA CRUZ COUNTY FAIRGROUNDS,water_system,
BONNY DOON SCHOOL,water_system,
CITY OF WESTMINSTER,water_system,
SUTTER PINES MHP,water_system,
TRINITY CENTER M.W.C.,water_system,
DRY CREEK STORE,water_system,
BEAUMONT CHERRY VALLEY WD,water_system,
OAK KNOLL WORK CENTER,water_system,
PSMCSD - PAJARO,water_system,
WESTERN HEIGHTS WATER COMPANY,water_system,
SUN MOUNTAIN M.W.C.,water_system,
LANCASTER PARK MOBILE HOME PARK,water_system,
FISH LAKE CG - SRNF,water_system,
TAHOE VALLEY LODGE,water_system,
BEND MOBILEHOME & RV PARK,water_system,
CITY OF FRESNO,water_system,
LAKE OF THE WOODS MOBILE VILLAGE,water_system,
LAWNDALE MUTUAL WATER COMPANY,water_system,
RAM'S GATE WINERY,water_system,
ROYAL CARRIZO HOA,water_system,
FOOTHILLS MANUFACTURED HOME COMMUNUTY,water_system,
LAKEHEAD SUBD MUTUAL WATER CO,water_system,
CARMEL VALLEY TENNIS CAMP WS,water_system,
SANTA ANA RIVER WATER COMPANY,water_system,
"LAKEWOOD - CITY, WATER DEPT.",water_system,
MAGNOLIA MUTUAL WATER,water_system,
GRIER MUTUAL WATER COMPANY,water_system,
GOLDEN OAKS MOBILE HOME PARK,water_system,
STANISLAUS RIVER CAMPGROUND,water_system,
"PLYMOUTH, CITY OF",water_system,
CASCADEL MUTUAL WATER SYSTEM,water_system,
HUMBOLDT HIGHLANDS MUTUAL,water_system,
CAL AMERICAN WATER CO,water_system,
MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,water_system,
VILLA DE GUADALUPE,water_system,
ALTMAN PLANTS WS #05 -ESP 325 (PREV CS2),water_system,
USFS/BILLY CREEK CAMPGROUND,water_system,
OKU INCORPORATED,water_system,
KORTHS PIRATES LAIR,water_system,
TOWN OF DISCOVERY BAY,water_system,
WIND WOLVES PRESERVE,water_system,
DEL ORO WC - BLACK BUTTE DISTRICT,water_system,
SANTA NELLA COUNTY WATER DISTRICT,water_system,
RITE OF PASSAGE/SIERRA RIDGE,water_system,
CAL FIRE-HIGH ROCK CONSERVATION CAMP,water_system,
KJ CARNEROS HILLS WINERY,water_system,
ABERDEEN WATER SYSTEM,water_system,
CAMP LIAHONA REDWOODS,water_system,
BOLINAS COMMUNITY PUD,water_system,
NICASIO SCHOOL,water_system,
"SANTA MONICA-CITY, WATER DIVISION",water_system,
GARDEN COURT WS #01,water_system,
TRUROOTS,water_system,
CITY OF TEHAMA,water_system,
AUBURN RIDGE WOODS,water_system,
SAN SIMEON CSD,water_system,
"GONZALES, CITY OF",water_system,
TIMBER CREST FARMS,water_system,
CITY OF VACAVILLE,water_system,
"WASCO, CITY OF",water_system,
MARTINS BEACH WATER SYSTEM,water_system,
JOHNSON'S BEACH RESORT,water_system,
BUCKEYE TREE LODGE,water_system,
USDA AGRICULTURAL RESEARCH SERVICE,water_system,
GEORGETOWN DIVIDE PUD,water_system,
BUTANO GIRL SCOUT CAMP,water_system,
CSP - PORTOLA STATE PARK,water_system,
CAMP LOMA MAR,water_system,
NPS-GRANT GROVE,water_system,
METCALF MOTORCYCLE COUNTY PARK,water_system,
VOLTA COMMUNITY SD,water_system,
MYOMA DUNES MUTUAL WATER COMPANY,water_system,
LAKESHORE VILLA MUTUAL WATER CO,water_system,
