all_names,entity_type,notes
Clay Water District GSA|Clay Water District,gsa,SAN JOAQUIN VALLEY - COSUMNES
Coachella Valley Water District GSA|Coachella Valley Water District|Coachella Valley Water District GSA - Indio|Coachella Valley Water District GSA - Mission Creek,gsa,COACHELLA VALLEY - INDIO; COACHELLA VALLEY - MISSION CREEK
Coachella Water Authority GSA|Coachella Water Authority,gsa,COACHELLA VALLEY - INDIO
Colusa Groundwater Authority GSA|Colusa Groundwater Authority|Colusa Groundwater Authority GSA - Butte|Colusa Groundwater Authority GSA - Colusa,gsa,SACRAMENTO VALLEY - BUTTE; SACRAMENTO VALLEY - COLUSA
Cordua Irrigation District GSA|Cordua Irrigation District,gsa,SACRAMENTO VALLEY - NORTH YUBA
Corning Subbasin GSA|Corning Subbasin,gsa,SACRAMENTO VALLEY - CORNING
County of Butte GSA|County of Butte|County of Butte GSA - Butte 1|County of Butte GSA - Butte 2,gsa,SACRAMENTO VALLEY - BUTTE
County of Contra Costa GSA|County of Contra Costa,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA
County of Del Norte GSA|County of Del Norte,gsa,SMITH RIVER PLAIN
County of Fresno GSA|County of Fresno|County of Fresno GSA - Delta-Mendota Management Area A|County of Fresno GSA - Delta-Mendota Management Area B|County of Fresno GSA - Pleasant Valley|County of Fresno GSA - Westside,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA; SAN JOAQUIN VALLEY - PLEASANT VALLEY; SAN JOAQUIN VALLEY - WESTSIDE
County of Glenn GSA|County of Glenn|County of Glenn GSA - Butte|County of Glenn GSA - Colusa|County of Glenn GSA - Corning,gsa,SACRAMENTO VALLEY - BUTTE; SACRAMENTO VALLEY - COLUSA; SACRAMENTO VALLEY - CORNING
County of Humboldt GSA|County of Humboldt,gsa,EEL RIVER VALLEY
County of Imperial GSA|County of Imperial|County of Imperial GSA - Amos Valley|County of Imperial GSA - Arroyo Seco Valley|County of Imperial GSA - Chuckwalla Valley|County of Imperial GSA - Coyote Wells Valley|County of Imperial GSA - Davies Valley|County of Imperial GSA - East Salton Sea|County of Imperial GSA - Imperial Valley|County of Imperial GSA - Ocotillo Wells|County of Imperial GSA - Ocotillo-Clark Valley|County of Imperial GSA - Ogilby Valley|County of Imperial GSA - Palo Verde Mesa|County of Imperial GSA - Palo Verde Valley|County of Imperial GSA - Vallecito-Carrizo Valley|County of Imperial GSA - West Salton Sea|County of Imperial GSA - Yuma Valley,gsa,AMOS VALLEY; ARROYO SECO VALLEY; BORREGO VALLEY - OCOTILLO WELLS; CHUCKWALLA VALLEY; COYOTE WELLS VALLEY; DAVIES VALLEY; EAST SALTON SEA; IMPERIAL VALLEY; OCOTILLO-CLARK VALLEY; OGILBY VALLEY; PALO VERDE MESA; PALO VERDE VALLEY; VALLECITO-CARRIZO VALLEY; WEST SALTON SEA; YUMA VALLEY
County of Lassen GSA|County of Lassen,gsa,BIG VALLEY
County of Madera GSA|County of Madera|County of Madera GSA - Chowchilla|County of Madera GSA - Delta-Mendota|County of Madera GSA - Madera,gsa,SAN JOAQUIN VALLEY - CHOWCHILLA; SAN JOAQUIN VALLEY - DELTA-MENDOTA; SAN JOAQUIN VALLEY - MADERA
County of Merced GSA|County of Merced|County of Merced GSA - Chowchilla|County of Merced GSA - Delta-Mendota,gsa,SAN JOAQUIN VALLEY - CHOWCHILLA; SAN JOAQUIN VALLEY - DELTA-MENDOTA
County of Modoc GSA|County of Modoc|County of Modoc GSA - Big Valley|County of Modoc GSA - Tulelake,gsa,BIG VALLEY; KLAMATH RIVER VALLEY - TULELAKE
County of Mono GSA|County of Mono|County of Mono GSA - Fish Slough|County of Mono GSA - Long Valley|County of Mono GSA - Owens Valley,gsa,LONG VALLEY; OWENS VALLEY - FISH SLOUGH; OWENS VALLEY - OWENS VALLEY
County of Monterey GSA|County of Monterey,gsa,SALINAS VALLEY - 180/400 FOOT AQUIFER
County of Napa GSA|County of Napa,gsa,NAPA-SONOMA VALLEY - NAPA VALLEY
County of Plumas GSA|County of Plumas,gsa,SIERRA VALLEY - SIERRA VALLEY
County of Sacramento GSA|County of Sacramento|County of Sacramento GSA - South American,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
County of San Joaquin GSA|County of San Joaquin|County of San Joaquin GSA - Eastern San Joaquin 1|County of San Joaquin GSA - Eastern San Joaquin 2|County of San Joaquin GSA - Tracy,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN; SAN JOAQUIN VALLEY - TRACY
County of San Luis Obispo GSA|County of San Luis Obispo|County of San Luis Obispo GSA - Los Osos Fringe Areas|County of San Luis Obispo GSA - Paso Robles Area|County of San Luis Obispo GSA - San Luis Obispo Valley|County of San Luis Obispo GSA - Santa Maria Basin Fringe Areas,gsa,"LOS OSOS VALLEY - WARDEN CREEK; SALINAS VALLEY - PASO ROBLES AREA; SAN LUIS OBISPO VALLEY; SANTA MARIA RIVER VALLEY - ARROYO GRANDE, SANTA MARIA RIVER VALLEY - SANTA MARIA"
County of Santa Cruz GSA|County of Santa Cruz|County of Santa Cruz GSA - Purisima Highlands|County of Santa Cruz GSA - West Santa Cruz Terrace,gsa,CORRALITOS - PURISIMA HIGHLANDS; WEST SANTA CRUZ TERRACE
County of Siskiyou GSA|County of Siskiyou,gsa,KLAMATH RIVER VALLEY - TULELAKE
County of Sutter GSA|County of Sutter|County of Sutter GSA - North American|County of Sutter GSA - Sutter,gsa,SACRAMENTO VALLEY - NORTH AMERICAN; SACRAMENTO VALLEY - SUTTER
County of Tulare GSA|County of Tulare|County of Tulare GSA - Tule,gsa,SAN JOAQUIN VALLEY - TULE
County of Tuolumne GSA|County of Tuolumne,gsa,SAN JOAQUIN VALLEY - MODESTO
County of Ventura GSA|County of Ventura|County of Ventura GSA - Las Posas Valley Basin Outlying Areas|County of Ventura GSA - Oxnard Basin Outlying Areas|County of Ventura GSA - Pleasant Valley Basin Outlying Areas|County of Ventura GSA - Santa Paula Basin Outlying Areas,gsa,LAS POSAS VALLEY; PLEASANT VALLEY; SANTA CLARA RIVER VALLEY - OXNARD; SANTA CLARA RIVER VALLEY - SANTA PAULA
Cuyama Basin GSA|Cuyama Basin,gsa,CUYAMA VALLEY
DM-II GSA|DM-II,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Delano-Earlimart Irrigation District GSA|Delano-Earlimart Irrigation District,gsa,SAN JOAQUIN VALLEY - TULE
Desert Water Agency GSA|Desert Water Agency|Desert Water Agency GSA - Non-Statutory Area - Indio|Desert Water Agency GSA - Non-Statutory Area - Mission Creek|Desert Water Agency GSA - Statutory Area - Indio|Desert Water Agency GSA - Statutory Area - Mission Creek|Desert Water Agency GSA - Statutory Area - San Gorgonio Pass,gsa,COACHELLA VALLEY - INDIO; COACHELLA VALLEY - MISSION CREEK; COACHELLA VALLEY - SAN GORGONIO PASS
Diablo Water District GSA|Diablo Water District,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA
Discovery Bay Community Services District GSA|Discovery Bay Community Services District,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA
East Acton GSA|East Acton,gsa,ANTELOPE VALLEY
