all_names,entity_type,notes
Santa Rosa Plain GSA|Santa Rosa Plain,gsa,SANTA ROSA VALLEY - SANTA ROSA PLAIN
Santa Ynez River Valley Basin Central Management Area GSA|Santa Ynez River Valley Basin Central Management Area,gsa,SANTA YNEZ RIVER VALLEY
Santa Ynez River Valley Basin Eastern Management Area GSA|Santa Ynez River Valley Basin Eastern Management Area,gsa,SANTA YNEZ RIVER VALLEY
Santa Ynez River Valley Basin Western Management Area GSA|Santa Ynez River Valley Basin Western Management Area,gsa,SANTA YNEZ RIVER VALLEY
Saucelito Irrigation District Groundwater Sustainability Agency,gsa,SAN JOAQUIN VALLEY - TULE
Semitropic Water Storage District GSA|Semitropic Water Storage District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Shafter-Wasco Irrigation District GSA|Shafter-Wasco Irrigation District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Shandon-San Juan GSA|Shandon-San Juan,gsa,SALINAS VALLEY - PASO ROBLES AREA
Sierra Valley Groundwater Management District GSA|Sierra Valley Groundwater Management District,gsa,SIERRA VALLEY - SIERRA VALLEY
Siskiyou County Flood Control and Water Conservation District GS,gsa,BUTTE VALLEY; SCOTT RIVER VALLEY; SHASTA VALLEY
Sloughhouse Resource Conservation District GSA|Sloughhouse Resource Conservation District|Sloughhouse Resource Conservation District GSA - Cosumnes,gsa,SAN JOAQUIN VALLEY - COSUMNES
Solano Irrigation District GSA|Solano Irrigation District,gsa,SACRAMENTO VALLEY - SOLANO
Solano Subbasin GSA|Solano Subbasin,gsa,SACRAMENTO VALLEY - SOLANO
Sonoma Valley GSA|Sonoma Valley,gsa,NAPA-SONOMA VALLEY - SONOMA VALLEY
South Delta Water Agency GSA|South Delta Water Agency,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
South Fork Kings GSA|South Fork Kings,gsa,SAN JOAQUIN VALLEY - TULARE LAKE
South Kings GSA|South Kings,gsa,SAN JOAQUIN VALLEY - KINGS
South San Joaquin GSA|South San Joaquin,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
South Sutter Water District GSA|South Sutter Water District,gsa,SACRAMENTO VALLEY - NORTH AMERICAN
South Tahoe Public Utility District GSA|South Tahoe Public Utility District,gsa,TAHOE VALLEY - TAHOE SOUTH
Southern San Joaquin Municipal Utility District - GSA|Southern San Joaquin Municipal Utility District -,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Southwest Kings GSA|Southwest Kings,gsa,SAN JOAQUIN VALLEY - TULARE LAKE
Spadra Basin GSA|Spadra Basin,gsa,SAN GABRIEL VALLEY
Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA|Stanislaus and Tuolumne Rivers Groundwater Basin Association,gsa,SAN JOAQUIN VALLEY - MODESTO
Stewart Tract GSA|Stewart Tract,gsa,SAN JOAQUIN VALLEY - TRACY
Stockton East Water District GSA|Stockton East Water District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Sutter Community Service District GSA|Sutter Community Service District,gsa,SACRAMENTO VALLEY - SUTTER
Sutter Extension Water District GSA|Sutter Extension Water District,gsa,SACRAMENTO VALLEY - SUTTER
Tea Pot Dome Water District,gsa,SAN JOAQUIN VALLEY - TULE
Tehama County Flood Control and Water Conservation District GSA|Tehama County Flood Control and Water Conservation District,gsa,REDDING AREA - BOWMAN; REDDING AREA - SOUTH BATTLE CREEK; SACRAMENTO VALLEY - ANTELOPE; SACRAMENTO VALLEY - BEND; SACRAMENTO VALLEY - CORNING; SACRAMENTO VALLEY - LOS MOLINOS; SACRAMENTO VALLEY - RED BLUFF
Tejon-Castac Water District GSA|Tejon-Castac Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Temescal Subbasin GSA|Temescal Subbasin,gsa,UPPER SANTA ANA VALLEY - TEMESCAL
Terra Bella Irrigation District Groundwater Sustainability Agenc,gsa,SAN JOAQUIN VALLEY - TULE
Tri-County Water Authority GSA|Tri-County Water Authority|Tri-County Water Authority GSA - Tulare Lake|Tri-County Water Authority GSA - Tule,gsa,SAN JOAQUIN VALLEY - TULARE LAKE; SAN JOAQUIN VALLEY - TULE
Triangle T Water District GSA|Triangle T Water District,gsa,SAN JOAQUIN VALLEY - CHOWCHILLA
Tule East GSA JPA,gsa,SAN JOAQUIN VALLEY - TULE
Tulelake Irrigation District GSA|Tulelake Irrigation District,gsa,KLAMATH RIVER VALLEY - TULELAKE
Turner Island Water District GSA|Turner Island Water District|Turner Island Water District GSA - Delta-Mendota|Turner Island Water District GSA - Merced,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA; SAN JOAQUIN VALLEY - MERCED
Ukiah Valley Basin GSA|Ukiah Valley Basin,gsa,UKIAH VALLEY
Upper San Luis Rey Groundwater Management Authority GSA|Upper San Luis Rey Groundwater Management Authority,gsa,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY
Upper Ventura River Groundwater Agency GSA|Upper Ventura River Groundwater Agency,gsa,VENTURA RIVER VALLEY - UPPER VENTURA RIVER
Vandalia Water District,gsa,SAN JOAQUIN VALLEY - TULE
Verbenia GSA|Verbenia,gsa,COACHELLA VALLEY - SAN GORGONIO PASS
Vina GSA|Vina,gsa,SACRAMENTO VALLEY - VINA
West Kern Water District GSA|West Kern Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
West Placer GSA|West Placer,gsa,SACRAMENTO VALLEY - NORTH AMERICAN
West San Jacinto GSA|West San Jacinto,gsa,SAN JACINTO
West Stanislaus Irrigation District GSA|West Stanislaus Irrigation District,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
West Turlock Subbasin GSA|West Turlock Subbasin,gsa,SAN JOAQUIN VALLEY - TURLOCK
Western Canal Water District GSA|Western Canal Water District,gsa,SACRAMENTO VALLEY - BUTTE
Western Municipal Water District GSA|Western Municipal Water District|Western Municipal Water District GSA - Riverside-Arlington,gsa,UPPER SANTA ANA VALLEY - RIVERSIDE-ARLINGTON
Westlands Water District GSA|Westlands Water District,gsa,SAN JOAQUIN VALLEY - WESTSIDE
Westside District Water Authority GSA|Westside District Water Authority,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Wheeler Ridge-Maricopa GSA|Wheeler Ridge-Maricopa,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
White Wolf GSA|White Wolf,gsa,SAN JOAQUIN VALLEY - WHITE WOLF
Widren Water District GSA|Widren Water District,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Woodbridge Irrigation District GSA|Woodbridge Irrigation District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Wyandotte Creek GSA|Wyandotte Creek,gsa,SACRAMENTO VALLEY - WYANDOTTE CREEK
Yolo Subbasin GSA|Yolo Subbasin,gsa,SACRAMENTO VALLEY - YOLO
Yuba Water Agency GSA|Yuba Water Agency|Yuba Water Agency GSA - North Yuba|Yuba Water Agency GSA - South Yuba,gsa,SACRAMENTO VALLEY - NORTH YUBA; SACRAMENTO VALLEY - SOUTH YUBA
Yucaipa Basin GSA|Yucaipa Basin,gsa,UPPER SANTA ANA VALLEY - YUCAIPA
Zone 7 Water Agency GSA|Zone 7 Water Agency|Zone 7 Water Agency GSA - Exclusive Portion|Zone 7 Water Agency GSA - Non-Exclusive Portion,gsa,LIVERMORE VALLEY
