State,Agency,Abbr
federal,US_Department_of_Transportation,United_States_Department_of_Transportation
federal,US_Department_of_Veterans_Affairs,Veterans_Affairs_Department
federal,US_Department_of_Veterans_Affairs,United_States_Department_of_Veterans_Affairs
federal,Drug_Enforcement_Administration,DEA
federal,Economic_Research_Service,ERS
federal,Election_Assistance_Commission,EAC
federal,Employee_Benefits_Security_Administration,EBSA
federal,US_Environmental_Protection_Agency,EPA
federal,US_Environmental_Protection_Agency,US_EPA
federal,US_Environmental_Protection_Agency,USEPA
federal,US_Environmental_Protection_Agency,United_States_Environmental_Protection_Agency
federal,Equal_Employment_Opportunity_Commission,EEOC
federal,Executive_Office_for_Immigration_Review,EOIR
federal,Export___Import_Bank_of_the_United_States,EXIM
federal,Office_of_Fair_Housing_and_Equal_Opportunity,FHEO
federal,Office_of_Fair_Housing_and_Equal_Opportunity,Fair_Housing_and_Equal_Opportunity
federal,Farm_Credit_System_Insurance_Corporation,FCSIC
federal,Federal_Accounting_Standards_Advisory_Board,FASAB
federal,Federal_Aviation_Administration,FAA
federal,Federal_Bureau_of_Investigation,FBI
federal,Federal_Deposit_Insurance_Corporation,FDIC
federal,Federal_Election_Commission,FEC
federal,Federal_Emergency_Management_Agency,FEMA
federal,Federal_Energy_Regulatory_Commission,FERC
federal,Federal_Financial_Institutions_Examination_Council,FFIEC
federal,Federal_Geographic_Data_Committee,FGDC
federal,Federal_Housing_Administration,FHA
federal,Federal_Home_Loan_Mortgage_Corporation,Freddie_Mac
federal,Federal_Housing_Finance_Agency,FHFA
federal,Federal_Labor_Relations_Authority,FLRA
federal,Federal_Laboratory_Consortium_for_Technology_Transfer,FLC
federal,Federal_Laboratory_Consortium_for_Technology_Transfer,Federal_Laboratory_Consortium
federal,Federal_Law_Enforcement_Training_Center,FLETC
federal,Federal_Mediation_and_Conciliation_Service,FMCS
federal,Federal_Motor_Carrier_Safety_Administration,FMCSA
federal,Federal_National_Mortgage_Association,Fannie_Mae
federal,Federal_Railroad_Administration,FRA
federal,Federal_Retirement_Thrift_Investment_Board,FRTIB
federal,Federal_Student_Aid_Information_Center,FSAIC
federal,Federal_Trade_Commission,FTC
federal,Federal_Transit_Administration,FTA
federal,Fish_and_Wildlife_Service,FWS
federal,Fish_and_Wildlife_Service,US_FWS
federal,Food_and_Drug_Administration,FDA
federal,Food_and_Nutrition_Service,FNS
federal,Food_Safety_and_Inspection_Service,FSIS
federal,Foreign_Claims_Settlement_Commission,FCSC
federal,Forest_Service,USFS
federal,Forest_Service,USDA_FS
federal,Government_Accountability_Office,GAO
federal,Government_National_Mortgage_Association,Ginnie_Mae
federal,Grain_Inspection_Packers_and_Stockyards_Administration,GIPSA
federal,Health_Resources_and_Services_Administration,HRSA
federal,Immigration_and_Customs_Enforcement,ICE
federal,Bureau_of_Indian_Affairs,BIA
federal,Bureau_of_Indian_Affairs,Indian_Affairs
federal,Federal_Interagency_Committee_on_Indoor_Air_Quality,CIAQ
,Indoor_Air_Quality,IAQ
federal,Interagency_Alternative_Dispute_Resolution_Working_Group,Interagency_ADR_Working_Group
federal,Interagency_Committee_for_the_Management_of_Noxious_and_Exotic_Weeds,FICMNEW
federal,Internal_Revenue_Service,IRS
federal,International_Criminal_Police_Organization,Interpol
federal,International_Criminal_Police_Organization,INTERPOL
federal,International_Criminal_Police_Organization,InterPol
federal,International_Criminal_Police_Organization,National_Central_Bureau___Interpol
federal,Japan___United_States_Friendship_Commission,JUSFC
federal,John_F_Kennedy_Center_for_the_Performing_Arts,Kennedy_Center
federal,Joint_Congressional_Committee_on_Inaugural_Ceremonies,JCCIC
federal,Joint_Fire_Science_Program,JFSP
federal,Joint_Program_Executive_Office_for_Chemical_and_Biological_Defense,JPEO___CBRND
federal,Judicial_Panel_on_Multidistrict_Litigation,JPML
federal,Maritime_Administration,MARAD
federal,Merit_Systems_Protection_Board,MSPB
federal,Military_Academy_West_Point,West_Point
federal,Mine_Safety_and_Health_Administration,MSHA
California,California_Division_of_Occupational_Safety_and_Health,Cal/OSHA
federal,National_Agricultural_Statistics_Service,NASS
federal,National_Agricultural_Statistics_Service,USDA_NASS
federal,National_Cancer_Institute,NCI
federal,National_Credit_Union_Administration,NCUA
federal,National_Flood_Insurance_Program,NFIP
