State,Agency,Abbr
California,Department_of_Health_Care_Access_and_Information,California_Office_of_Statewide_Health_Planning_and_Development
California,Department_of_Health_Care_Access_and_Information,OSHPD
California,Office_of_the_State_Fire_Marshal,OSFM
California,Pollution_Control_Financing_Authority,CPCFA
California,Prison_Industry_Authority,CalPIA
California,Prison_Industry_Authority,CALPIA
California,Public_Employees_Retirement_System,CalPERS
California,Public_Employment_Relations_Board,PERB
California,Public_Utilities_Commission,CPUC
California,San_Francisco_Bay_Conservation_and_Development_Commission,BCDC
California,San_Francisco_Bay_Conservation_and_Development_Commission,Bay_Conservation_and_Development_Commission
California,State_Council_on_Developmental_Disabilities,SCDD
California,State_Historical_Resources_Commission,SHRC
California,State_Mining_and_Geology_Board,SMGB
California,State_Parks_and_Recreation_Commission,SPRC
California,State_Teachers_Retirement_System,CalSTRS
California,State_Transportation_Agency,CalSTA
California,State_Water_Resources_Control_Board,SWRCB
California,State_Water_Resources_Control_Board,State_Water_Board
California,Tax_Credit_Allocation_Committee,CTCAC
California,Veterans_Board,
California,Veterinary_Medical_Board,VMB
California,Victim_Compensation_Board,CalVCB
California,Worker's_Compensation_Appeals_Board,WCAB
California,Workforce_Development_Board,CWDB
federal,Center_for_Food_Safety_and_Applied_Nutrition,CFSAN
federal,Center_for_Nutrition_Policy_and_Promotion,CNPP
federal,Center_for_Parent_Information_and_Resources,CPIR
federal,Centers_for_Medicare_and_Medicaid_Services,CMS
federal,Central_Intelligence_Agency,CIA
federal,Chemical_Safety_Board,CSB
federal,Chief_Acquisition_Officers_Council,CAO_Council
federal,Chief_Financial_Officers_Council,CFO_Council
federal,Chief_Human_Capital_Officers_Council,CHCO_Council
federal,Chief_Information_Officers_Council,CIO_Council
federal,Citizenship_and_Immigration_Services,UCSIS
federal,Coast_Guard,USCG
federal,Copyright_Office,USCOP
federal,Department_of_Commerce,Commerce_Department
federal,Commission_on_International_Religious_Freedom,USCIRF
federal,Commission_on_Security_and_Cooperation_in_Europe,CSCE
federal,Committee_on_Foreign_Investment_in_the_United_States,CFIUS
federal,Commodity_Futures_Trading_Commission,CFTC
federal,Community_Oriented_Policing_Services,COPS
federal,Congressional_Budget_Office,CBO
federal,Consumer_Product_Safety_Commission,CPSC
California,Business_Consumer_Services_and_Housing_Agency,BCSH
California,Physical_Therapy_Board_of_California,PTBC
California,University_of_California,UC
federal,Coordinating_Council_on_Juvenile_Justice_and_Delinquency_Prevention,CCJJDP
federal,Army_Corps_of_Engineers,Corps_of_Engineers
federal,Army_Corps_of_Engineers,ACE
federal,Army_Corps_of_Engineers,ACOE
federal,Army_Corps_of_Engineers,USACE
federal,Army_Corps_of_Engineers,USACOE
federal,Council_of_the_Inspectors_General_on_Integrity_and_Efficiency,CIGIE
federal,Council_on_Environmental_Quality,CEQ
federal,Court_Services_and_Offender_Supervision_Agency_for_the_District_of_Columbia,CSOSA
federal,Customs_and_Border_Protection,CBP
federal,Defense_Acquisition_University,DAU
federal,Defense_Advanced_Research_Projects_Agency,DARPA
federal,Defense_Contract_Audit_Agency,DCAA
federal,Defense_Contract_Management_Agency,DCMA
federal,Defense_Counterintelligence_and_Security_Agency,DCSA
federal,Department_of_Defense,Defense_Department
federal,Department_of_Defense,DOD
federal,Department_of_Defense,DoD
federal,Department_of_Defense,USDOD
federal,Defense_Information_Systems_Agency,DISA
federal,Defense_Nuclear_Facilities_Safety_Board,DNFSB
federal,Defense_Technical_Information_Center,DTIC
federal,Defense_Threat_Reduction_Agency,DTRA
federal,Delaware_River_Basin_Commission,DRBC
California,Dental_Hygiene_Board_of_California,DHBC
federal,Department_of_Agriculture,USDA
federal,Department_of_Agriculture,Agriculture_Department
federal,Department_of_Education,Education_Department
federal,Department_of_Energy,DoE
federal,Department_of_Energy,DOE
federal,Department_of_Energy,Energy_Department
federal,Department_of_Health_and_Human_Services,HHS
federal,Department_of_Health_and_Human_Services,USHHS
federal,Department_of_Health_and_Human_Services,Health_and_Human_Services_Department
federal,Department_of_Health_and_Human_Services_Office_for_Civil_Rights,
federal,Department_of_Health_and_Human_Services_Office_for_Civil_Rights,Office_for_Civil_Rights_Department_of_Health_and_Human_Services
federal,Department_of_Education_Office_for_Civil_Rights,Office_for_Civil_Rights_Department_of_Education
federal,Department_of_Homeland_Security,DHS
federal,Department_of_Homeland_Security,Homeland_Security_Department
federal,Department_of_Housing_and_Urban_Development,HUD
federal,Department_of_Justice,DoJ
federal,Department_of_Justice,DOJ
federal,Department_of_Justice,Justice_Department
federal,Department_of_Labor,DoL
federal,Department_of_Labor,DOL
federal,Department_of_Labor,Labor_Department
federal,Department_of_the_Interior,Interior_Department
federal,Department_of_the_Interior,USDOI
federal,US_Department_of_Transportation,DoT
federal,US_Department_of_Transportation,DOT
federal,US_Department_of_Transportation,USDOT
federal,US_Department_of_Transportation,United_States_Department_of_Transportation
federal,US_Department_of_Veterans_Affairs,Veterans_Affairs_Department
federal,US_Department_of_Veterans_Affairs,United_States_Department_of_Veterans_Affairs
federal,Drug_Enforcement_Administration,DEA
federal,Economic_Research_Service,ERS
federal,Election_Assistance_Commission,EAC
federal,Employee_Benefits_Security_Administration,EBSA
federal,US_Environmental_Protection_Agency,EPA
federal,US_Environmental_Protection_Agency,US_EPA
federal,US_Environmental_Protection_Agency,USEPA
federal,US_Environmental_Protection_Agency,United_States_Environmental_Protection_Agency
federal,Equal_Employment_Opportunity_Commission,EEOC
federal,Executive_Office_for_Immigration_Review,EOIR
federal,Export_-_Import_Bank_of_the_United_States,EXIM
federal,Office_of_Fair_Housing_and_Equal_Opportunity,FHEO
federal,Office_of_Fair_Housing_and_Equal_Opportunity,Fair_Housing_and_Equal_Opportunity
federal,Farm_Credit_System_Insurance_Corporation,FCSIC
federal,Federal_Accounting_Standards_Advisory_Board,FASAB
federal,Federal_Aviation_Administration,FAA
federal,Federal_Bureau_of_Investigation,FBI
federal,Federal_Deposit_Insurance_Corporation,FDIC
federal,Federal_Election_Commission,FEC
federal,Federal_Emergency_Management_Agency,FEMA
federal,Federal_Energy_Regulatory_Commission,FERC
federal,Federal_Financial_Institutions_Examination_Council,FFIEC
federal,Federal_Geographic_Data_Committee,FGDC
federal,Federal_Highway_Administration,FHWA
federal,Federal_Housing_Administration,FHA
federal,Federal_Home_Loan_Mortgage_Corporation,Freddie_Mac
federal,Federal_Housing_Finance_Agency,FHFA
federal,Federal_Labor_Relations_Authority,FLRA
federal,Federal_Laboratory_Consortium_for_Technology_Transfer,FLC
federal,Federal_Laboratory_Consortium_for_Technology_Transfer,Federal_Laboratory_Consortium
federal,Federal_Law_Enforcement_Training_Center,FLETC
federal,Federal_Mediation_and_Conciliation_Service,FMCS
federal,Federal_Motor_Carrier_Safety_Administration,FMCSA
federal,Federal_National_Mortgage_Association,Fannie_Mae
federal,Federal_Railroad_Administration,FRA
federal,Federal_Retirement_Thrift_Investment_Board,FRTIB
federal,Federal_Student_Aid_Information_Center,FSAIC
federal,Federal_Trade_Commission,FTC
federal,Federal_Transit_Administration,FTA
federal,Fish_and_Wildlife_Service,FWS
federal,Fish_and_Wildlife_Service,USFWS
federal,Fish_and_Wildlife_Service,US_FWS
federal,Food_and_Drug_Administration,FDA
federal,Food_and_Nutrition_Service,FNS
federal,Food_Safety_and_Inspection_Service,FSIS
federal,Foreign_Claims_Settlement_Commission,FCSC
federal,Forest_Service,USFS
federal,Forest_Service,USDA_FS
federal,Geological_Survey,USGS
federal,Government_Accountability_Office,GAO
