Name of GSA,Single or Multiple?,URL Extension,Notes,Source if extra research necessary,
County of Siskiyou GSA,Single,256,,,
City of Tulelake GSA,Single,280,,,
County of Modoc GSA - Tulelake,Single,236,,,
Tulelake Irrigation District GSA,Single,258,,,
Biggs-West Gridley Water District GSA,Single,117,,,
Butte Water District GSA - Butte,Single,417,,,
City of Biggs GSA,Single,173,,,
City of Gridley GSA,Single,128,,,
Colusa Groundwater Authority GSA - Butte,Single,467,,,
County of Butte GSA - Butte 1,Single,122,,,
County of Butte GSA - Butte 2,Single,251,,,
County of Glenn GSA - Butte,Single,415,,,
Reclamation District No. 1004 GSA - Butte 1,Single,416,,,
Reclamation District No. 2106 GSA,Single,195,,,
Richvale Irrigation District GSA,Single,112,,,
Western Canal Water District GSA,Single,120,,,
Wyandotte Creek GSA,Multiple,406,,,
Reclamation District No. 1001 GSA,Single,247,,,
Sacramento Groundwater Authority GSA,Single,118,,,
South Sutter Water District GSA,Single,233,,,
County of Sutter GSA - North American,Single,454,,,
West Placer GSA,Multiple,209,,,
Sonoma Valley GSA,Single,263,,,
Owens Valley Groundwater Authority GSA - Owens Valley,Single,403,,,
Yucaipa Basin GSA,Multiple,349,,,
San Benito County Water District GSA - North San Benito,Single,89,,,
Santa Clara Valley Water District GSA - North San Benito,Single,345,,,
Amador County Groundwater Management Authority GSA,Single,193,,,
City of Galt GSA,Single,312,,,
Clay Water District GSA,Single,182,,,
Galt Irrigation District GSA,Single,97,,,
Omochumne-Hartnell Water District GSA - Cosumnes,Single,155,,,
Sloughhouse Resource Conservation District GSA - Cosumnes,Single,160,,,
West Turlock Subbasin GSA,Single,225,,,
East Turlock Subbasin GSA,Single,238,,,
Omochumne-Hartnell Water District GSA - South American,Single,156,,,
Reclamation District No. 551 GSA,Single,366,,,
Sacramento Central Groundwater Authority GSA - 1,Single,147,,,
County of Sacramento GSA - South American,Single,295,,,
Sloughhouse Resource Conservation District GSA - South American 1,Single,153,,,
Reclamation District No. 1002 GSA - Northern Delta GSA,Single,373,,,
Reclamation District No. 813 GSA - Northern Delta GSA,Single,377,,,
Reclamation District No. 744 GSA - Northern Delta GSA,Single,376,,,
Reclamation District No. 2110 GSA - Northern Delta GSA,Single,364,,,
Reclamation District No. 369 GSA - Northern Delta GSA,Single,378,,,
Reclamation District No. 755 GSA - Northern Delta GSA,Single,https://sgma.water.ca.gov/portal/gsa/preview/3601263eb70420865dd5c6f01f2e22b5,,,
Franklin Drainage District GSA - Northern Delta GSA,Single,387,,,
County of Sutter GSA - Sutter,Single,218,,,
Butte Water District GSA - Sutter,Single,119,,,
City of Live Oak GSA,Single,136,,,
Sutter Extension Water District GSA,Single,121,,,
Sutter Community Service District GSA,Single,114,,,
City of Yuba City GSA,Single,264,,,
Reclamation District No. 70 GSA,Single,320,,,
Reclamation District No. 1660 GSA,Single,321,,,
Reclamation District No. 1500 GSA,Single,239,,,
Salinas Valley Basin GSA - Langley Area,Single,268,,,
Salinas Valley Basin GSA - East Side Aquifer,Single,460,,,
Salinas Valley Basin GSA - Upper Valley Aquifer,Single,459,,,
Salinas Valley Basin GSA - Forebay Aquifer,Single,462,,,
City of Vacaville GSA,Single,272,,,
Solano Irrigation District GSA,Single,180,,,
Solano Subbasin GSA,Single,340,,,
Reclamation District No. 501 GSA - Northern Delta GSA,Single,384,,,
Reclamation District No. 3 GSA,Single,374,,,
Reclamation District No. 349 GSA,Single,385,,,
Reclamation District No. 554 GSA,Single,379,,,
Reclamation District No. 556 GSA,Single,383,,,
Reclamation District No. 2111 GSA,Single,380,,,
County of San Luis Obispo GSA - San Luis Obispo Valley,Single,336,,,
City of San Luis Obispo GSA,Single,329,,,
Elsinore Valley GSA,Single,21,,,
City of Antioch GSA,Single,299,,,
Byron-Bethany Irrigation District GSA - East Contra Costa,Single,463,,,
City of Brentwood GSA,Single,224,,,
County of Contra Costa GSA,Single,259,,,
Diablo Water District GSA,Single,289,,,
Discovery Bay Community Services District GSA,Single,265,,,
East Contra Costa Irrigation District GSA,Single,252,,,
San Gorgonio Pass GSA,Multiple,262,,,
Verbenia GSA,Multiple,330,,,
Desert Water Agency GSA - Statutory Area - San Gorgonio Pass,Single,450,,,
Banta-Carbona Irrigation District GSA,Single,149,,,
Byron-Bethany Irrigation District GSA - Tracy,Single,286,,,
City of Lathrop GSA,Single,183,,,
City of Tracy GSA,Single,157,,,
County of San Joaquin GSA - Tracy,Single,146,,,
Stewart Tract GSA,Multiple,343,,,
White Wolf GSA,Multiple,244,,,
County of Napa GSA,Single,488,,,
Sierra Valley Groundwater Management District GSA,Single,227,,,
County of Plumas GSA,Single,234,,,
Salinas Valley Basin GSA - Monterey,Single,458,,,
Marina Coast Water District GSA - Monterey,Single,50,,,
Santa Monica Basin GSA,Multiple,337,,,
Ojai Basin Groundwater Management Agency GSA,Single,162,,,
Santa Clarita Valley GSA,Multiple,315,,,
Petaluma Valley GSA,Single,350,,,
