Name of GSA,Single or Multiple?,URL Extension,Joint Powers?,Notes,Source if extra research necessary,
San Antonio Basin GSA,Multiple,290,Y,,,
Siskiyou County Flood Control and Water Conservation District GSA - Butte Valley,Single,457,,,,
Siskiyou County Flood Control and Water Conservation District GSA - Scott River,Single,253,,,,
Siskiyou County Flood Control and Water Conservation District GSA - Shasta,Single,456,,,,
East Bay Municipal Utility District GSA,Single,104,,,,
City of Hayward GSA,Single,200,,,,
Colusa Groundwater Authority GSA - Colusa,Multiple,323,Y,,,
Glenn Groundwater Authority GSA,Multiple,369,Y,,,
Bedford-Coldwater Subbasin GSA,Multiple,267,,,,
Corning Subbasin GSA,Multiple,390,,,,
Tehama County Flood Control and Water Conservation District GSA - Corning,Single,418,,,,
Yolo Subbasin GSA,Multiple,217,Y,,,
County of Siskiyou GSA,Single,256,,,,
City of Tulelake GSA,Single,280,,,,
County of Modoc GSA - Tulelake,Single,236,,,,
Tulelake Irrigation District GSA,Single,258,,,,
Biggs-West Gridley Water District GSA,Single,117,,,,
Butte Water District GSA - Butte,Single,417,,,,
City of Biggs GSA,Single,173,,,,
City of Gridley GSA,Single,128,,,,
Colusa Groundwater Authority GSA - Butte,Multiple,467,Y,,,
County of Butte GSA - Butte 1,Single,122,,,,
County of Butte GSA - Butte 2,Single,251,,,,
County of Glenn GSA - Butte,Single,415,,,,
Reclamation District No. 1004 GSA - Butte 1,Single,416,,,,
Reclamation District No. 2106 GSA,Single,195,,,,
Richvale Irrigation District GSA,Single,112,,,,
Western Canal Water District GSA,Single,120,,,,
Wyandotte Creek GSA,Multiple,406,,,,
Reclamation District No. 1001 GSA,Single,247,,,,
Sacramento Groundwater Authority GSA,Multiple,118,Y,,,
South Sutter Water District GSA,Single,233,,,,
County of Sutter GSA - North American,Single,454,,,,
West Placer GSA,Multiple,209,,,,
Sonoma Valley GSA,Multiple,263,Y,,,
Owens Valley Groundwater Authority GSA - Owens Valley,Multiple,403,Y,,,
Yucaipa Basin GSA,Multiple,349,,,,
San Benito County Water District GSA - North San Benito,Single,89,,,,
Santa Clara Valley Water District GSA - North San Benito,Single,345,,,,
Amador County Groundwater Management Authority GSA,Multiple,193,Y,,,
City of Galt GSA,Single,312,,,,
Clay Water District GSA,Single,182,,,,
