web-scraper-order,web-scraper-start-url,term
"1655864425-68","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Borehole"
"1655864425-110","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Fossil Fuel"
"1655864425-187","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Stratosphere"
"1655864425-150","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Non-Methane Volatile Organic Compounds"
"1655864425-185","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Solar Radiation"
"1655864425-87","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Concentration"
"1655864425-76","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Chlorofluorocarbons"
"1655864425-169","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Recycling"
"1655864425-128","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Hydrosphere"
"1655864425-179","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Sea Surface Temperature"
"1655864425-106","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Feedback Mechanisms"
"1655864425-199","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Tropospheric Ozone Precursors"
"1655864425-108","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Fluorocarbons"
"1655864425-92","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Desertification"
"1655864425-177","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Salt Water Intrusion"
"1655864425-98","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Emissions"
"1655864425-62","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Atmospheric Lifetime"
"1655864425-84","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Co-Benefit"
"1655864425-155","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Ozone Layer"
"1655864425-204","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Wastewater"
"1655864425-58","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Alternative Energy"
"1655864425-125","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Hydrochlorofluorocarbons"
"1655864425-182","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Sink"
"1655864425-107","https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&glossaryName=Glossary%20Climate%20Change%20Terms#formTop","Fluorinated Gases"
