web-scraper-order,web-scraper-start-url,term
"1652471784-233","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","freshwater, fresh water"
"1652471784-338","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","subsidence"
"1652471784-272","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","NGVD"
"1652471784-333","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","stage"
"1652471784-212","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","creek"
"1652471784-190","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","alkalinity"
"1652471784-228","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","flood, 100-year"
"1652471784-295","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","precipitation"
"1652471784-345","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","suspended solids"
"1652471784-245","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","headwater(s)"
"1652471784-305","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","reservoir"
"1652471784-269","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","municipal water system"
"1652471784-249","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","impermeable layer"
"1652471784-237","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","giardiasis"
"1652471784-259","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","lentic waters"
"1652471784-366","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","withdrawal"
"1652471784-185","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","acequia"
"1652471784-225","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","evaporation"
"1652471784-263","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","marsh"
"1652471784-195","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","aquifer"
"1652471784-353","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","unsaturated zone"
"1652471784-257","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","lake"
"1652471784-277","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","osmosis"
"1652471784-327","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","solution"
"1652471784-270","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","nephelometric turbidity unit (NTU)"
"1652471784-343","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","suspended-sediment concentration"
"1652471784-220","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","drought"
"1652471784-247","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","hydrologic cycle"
"1652471784-266","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","milligrams per liter (mg/l)"
"1652471784-187","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","acre-foot (acre-ft)"
"1652471784-331","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","spray irrigation"
"1652471784-236","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","geyser"
"1652471784-324","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sinkhole"
"1652471784-264","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","maximum contaminant level (MCL)"
"1652471784-191","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","alluvium"
"1652471784-238","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","glacier"
"1652471784-348","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","thermoelectric power water use"
"1652471784-340","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","surface tension"
"1652471784-262","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","lotic waters"
"1652471784-243","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","groundwater, unconfined"
"1652471784-350","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","transpiration"
"1652471784-320","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","septic tank"
"1652471784-240","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","groundwater"
"1652471784-246","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","hydroelectric power water use"
"1652471784-286","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","per capita use"
"1652471784-334","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","steam"
"1652471784-290","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","point-source pollution"
"1652471784-268","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","mining water use"
"1652471784-252","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","injection well"
"1652471784-261","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","livestock water use"
"1652471784-234","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","gage height"
"1652471784-355","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","volume"
"1652471784-307","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","return flow (irrigation)"
"1652471784-198","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","artesian water"
"1652471784-241","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","groundwater, confined"
"1652471784-250","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","industrial water use"
"1652471784-363","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","watershed"
"1652471784-310","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","river"
"1652471784-292","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","porosity"
"1652471784-294","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","potentiometric surface/piezometric surface"
"1652471784-200","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","atmosphere"
"1652471784-326","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","solute"
"1652471784-242","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","groundwater recharge"
"1652471784-221","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","drip irrigation"
"1652471784-208","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","commercial water use"
"1652471784-311","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","runoff"
"1652471784-297","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","prior appropriation doctrine"
"1652471784-207","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","capillary action"
"1652471784-276","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","organic matter"
"1652471784-293","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","potable water"
"1652471784-298","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","public supply"
"1652471784-224","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","estuary"
"1652471784-316","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sedimentary rock"
"1652471784-330","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sprain"
"1652471784-303","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","reclaimed wastewater"
"1652471784-248","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","ice"
"1652471784-356","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","wastewater"
"1652471784-188","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","adhesion"
"1652471784-253","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","irrigation"
"1652471784-197","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","aquifer (unconfined)"
"1652471784-367","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","xeriscaping"
"1652471784-193","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","aquaculture"
"1652471784-300","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","rating curve"
"1652471784-213","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","cubic feet per second (cfs)"
"1652471784-321","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","settling pond (water quality)"
"1652471784-274","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","non-point source (NPS) pollution"
"1652471784-362","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","water use"
"1652471784-309","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","riparian water rights"
"1652471784-279","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","oxygen demand"
"1652471784-218","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","drainage basin"
"1652471784-222","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","effluent"
"1652471784-337","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","streamflow"
"1652471784-308","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","reverse osmosis"
"1652471784-352","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","turbidity"
