gsp_doc_id,gsp_id,canonical_gsp_id,version,plan_section,submitted_date,from_gsp_id,gsa_ids,gsa_names,basin,out_basename,doc_rank
9139,0025,25,1,resubmitted,07/27/2022,,187,North Fork Kings GSA,5-022.08 KINGS,gsp_doc_id_9139.pdf,2
2149,0026,26,1,original,01/28/2020,,317,South Kings GSA,5-022.08 KINGS,gsp_doc_id_2149.pdf,1
9136,0026,26,1,resubmitted,07/27/2022,,317,South Kings GSA,5-022.08 KINGS,gsp_doc_id_9136.pdf,2
3168,0028,28,1,original,01/28/2020,,266,McMullin Area GSA,5-022.08 KINGS,gsp_doc_id_3168.pdf,1
9152,0028,28,1,resubmitted,07/27/2022,,266,McMullin Area GSA,5-022.08 KINGS,gsp_doc_id_9152.pdf,2
3862,0029,29,1,original,01/23/2020,,"184,461,487",Marina Coast Water District GSA - 180/400 Foot Aquifer;Salinas Valley Basin GSA - 180/400 Foot Aquifer;County of Monterey GSA,3-004.01 180/400 FOOT AQUIFER,gsp_doc_id_3862.pdf,1
3303,0030,30,1,original,01/31/2020,,281,Greater Kaweah GSA,5-022.11 KAWEAH,gsp_doc_id_3303.pdf,1
9110,0030,30,1,resubmitted,07/27/2022,,281,Greater Kaweah GSA,5-022.11 KAWEAH,gsp_doc_id_9110.pdf,2
2655,0031,31,1,original,01/28/2020,,12,James GSA,5-022.08 KINGS,gsp_doc_id_2655.pdf,1
9921,0031,31,1,resubmitted,07/27/2022,,12,James GSA,5-022.08 KINGS,gsp_doc_id_9921.pdf,2
2669,0032,32,1,original,01/28/2020,,327,Cuyama Basin GSA,3-013 CUYAMA VALLEY,gsp_doc_id_2669.pdf,1
8757,0032,32,1,resubmitted,07/18/2022,,327,Cuyama Basin GSA,3-013 CUYAMA VALLEY,gsp_doc_id_8757.pdf,2
2847,0035,35,1,original,01/30/2020,,"56,72,322,319",San Miguel Community Services District GSA;City of Paso Robles GSA;County of San Luis Obispo GSA - Paso Robles Area;Shandon-San Juan GSA,3-004.06 PASO ROBLES AREA,gsp_doc_id_2847.pdf,1
8626,0035,35,1,resubmitted,07/19/2022,,"56,72,322,319",San Miguel Community Services District GSA;City of Paso Robles GSA;County of San Luis Obispo GSA - Paso Robles Area;Shandon-San Juan GSA,3-004.06 PASO ROBLES AREA,gsp_doc_id_8626.pdf,2
2162,0036,36,1,original,01/30/2020,,"277,39,188,306,326",Semitropic Water Storage District GSA;West Kern Water District GSA;Pioneer GSA;Kern Non-Districted Land Authority GSA;Cawelo Water District GSA,5-022.14 KERN COUNTY,gsp_doc_id_2162.pdf,1
9203,0036,36,1,resubmitted,07/27/2022,,"277,39,188,306,326",Semitropic Water Storage District GSA;West Kern Water District GSA;Pioneer GSA;Kern Non-Districted Land Authority GSA;Cawelo Water District GSA,5-022.14 KERN COUNTY,gsp_doc_id_9203.pdf,2
2994,0037,37,1,original,01/29/2020,,254,Henry Miller Water District GSA,5-022.14 KERN COUNTY,gsp_doc_id_2994.pdf,1
9188,0037,37,1,resubmitted,07/27/2022,,254,Henry Miller Water District GSA,5-022.14 KERN COUNTY,gsp_doc_id_9188.pdf,2
1407,0038,38,1,original,01/23/2020,,"231,62",County of Merced GSA - Delta-Mendota;Grasslands GSA,5-022.07 DELTA-MENDOTA,gsp_doc_id_1407.pdf,1
8791,0038,38,1,resubmitted,07/20/2022,,"231,62",County of Merced GSA - Delta-Mendota;Grasslands GSA,5-022.07 DELTA-MENDOTA,gsp_doc_id_8791.pdf,2
2810,0042,42,1,original,01/29/2020,,"411,222,73,226,358",Tri-County Water Authority GSA - Tulare Lake;South Fork Kings GSA;Mid-Kings River GSA;Southwest Kings GSA;El Rico GSA,5-022.12 TULARE LAKE,gsp_doc_id_2810.pdf,1
9241,0042,42,1,resubmitted,07/27/2022,,"411,222,73,226,358",Tri-County Water Authority GSA - Tulare Lake;South Fork Kings GSA;Mid-Kings River GSA;Southwest Kings GSA;El Rico GSA,5-022.12 TULARE LAKE,gsp_doc_id_9241.pdf,2
3712,0043,43,1,original,01/29/2020,,"","",5-022.13 TULE,gsp_doc_id_3712.pdf,1
9090,0043,43,1,resubmitted,07/27/2022,,"","",5-022.13 TULE,gsp_doc_id_9090.pdf,2
1516,0044,44,1,original,01/22/2020,,196,Olcese Water District GSA,5-022.14 KERN COUNTY,gsp_doc_id_1516.pdf,1
9064,0044,44,1,resubmitted,07/27/2022,,196,Olcese Water District GSA,5-022.14 KERN COUNTY,gsp_doc_id_9064.pdf,2
2772,0045,45,1,original,01/28/2020,,33,Root Creek Water District GSA,5-022.06 MADERA,gsp_doc_id_2772.pdf,1
9607,0045,45,1,resubmitted,03/21/2023,,33,Root Creek Water District GSA,5-022.06 MADERA,gsp_doc_id_9607.pdf,2
2509,0047,47,1,original,01/29/2020,,"137,152,116,91,288,142,140,189,208,201,159,249,389,151,99,228",City of Stockton GSA;City of Lodi GSA;Stockton East Water District GSA;City of Manteca GSA;Eastside San Joaquin GSA;County of San Joaquin GSA - Eastern San Joaquin 1;Lockeford Community Service District GSA;Central San Joaquin Water Conservation District GSA;South Delta Water Agency GSA;Central Delta Water Agency GSA;North San Joaquin Water Conservation District GSA;South San Joaquin GSA;County of San Joaquin GSA - Eastern San Joaquin 2;Woodbridge Irrigation District GSA;Linden County Water District GSA;Oakdale Irrigation District GSA,5-022.01 EASTERN SAN JOAQUIN,gsp_doc_id_2509.pdf,1
