link,basin,approval,gsp_local_id,gsp_num_id,mult_gsas,name_gsas
/portal/gsp/preview/138,8-009 BEAR VALLEY,Review In Progress,N/A,0138,FALSE,
/portal/gsp/preview/139,5-021.56 LOS MOLINOS,Review In Progress,N/A,0139,FALSE,
/portal/gsp/preview/140,5-021.50 RED BLUFF,Review In Progress,N/A,0140,FALSE,
NA,8-002.03 RIVERSIDE-ARLINGTON,Review In Progress,N/A,NA,NA,
/portal/gsp/preview/145,5-022.10 PLEASANT VALLEY,Review In Progress,N/A,0145,FALSE,
/portal/gsp/preview/50,5-022.11 KAWEAH,Incomplete,Mid-Kaweah GSA,0050,FALSE,
/portal/gsp/preview/45,5-022.06 MADERA,Review In Progress,Madera_RCWD_Adopted,0045,FALSE,
/portal/gsp/preview/49,5-022.06 MADERA,Review In Progress,Madera_NewStone_Adopted,0049,FALSE,
/portal/gsp/preview/21,5-022.06 MADERA,Review In Progress,Madera Subbasin Joint GSP,0021,TRUE,
/portal/gsp/preview/61,5-022.06 MADERA,Review In Progress,Madera Basin - GFWD GSA,0061,FALSE,
/portal/gsp/preview/56,5-022.13 TULE,Incomplete,LTRID GSA,0056,FALSE,
/portal/gsp/preview/26,5-022.08 KINGS,Incomplete,Kings_SouthKings_Adopted,0026,FALSE,
/portal/gsp/preview/24,5-022.08 KINGS,Incomplete,Kings_NorthKings_Adopted,0024,FALSE,
/portal/gsp/preview/25,5-022.08 KINGS,Incomplete,Kings_NorthForkKings_Adopted,0025,FALSE,
/portal/gsp/preview/28,5-022.08 KINGS,Incomplete,Kings_McMullinArea_Adopted,0028,FALSE,
/portal/gsp/preview/23,5-022.08 KINGS,Incomplete,Kings_KingsRiverEast_Adopted,0023,FALSE,
/portal/gsp/preview/31,5-022.08 KINGS,Incomplete,Kings_James_Adopted,0031,FALSE,
/portal/gsp/preview/22,5-022.08 KINGS,Incomplete,Kings_CentralKings_Adopted,0022,FALSE,
/portal/gsp/preview/36,5-022.14 KERN COUNTY,Incomplete,KGA GSP,0036,TRUE,
/portal/gsp/preview/44,5-022.14 KERN COUNTY,Incomplete,Kern County Subbasin Olcese GSP,0044,FALSE,
/portal/gsp/preview/54,5-022.14 KERN COUNTY,Incomplete,Kern County Subbasin KRGSA GSP,0054,TRUE,
/portal/gsp/preview/30,5-022.11 KAWEAH,Incomplete,Kaweah Subbasin - Greater Kaweah GSP,0030,FALSE,
/portal/gsp/preview/37,5-022.14 KERN COUNTY,Incomplete,Henry Miller Water District GSA,0037,FALSE,
/portal/gsp/preview/80,3-015 SANTA YNEZ RIVER VALLEY,Review In Progress,Eastern Management Area,0080,FALSE,
/portal/gsp/preview/58,5-022.11 KAWEAH,Incomplete,East Kaweah,0058,FALSE,
/portal/gsp/preview/15,5-022.07 DELTA-MENDOTA,Incomplete,DM_SJREC_Adopted,0015,TRUE,
/portal/gsp/preview/13,5-022.07 DELTA-MENDOTA,Incomplete,DM_NorthCentral_Adopted,0013,TRUE,
/portal/gsp/preview/38,5-022.07 DELTA-MENDOTA,Incomplete,DM_Grassland_Adopted,0038,TRUE,
/portal/gsp/preview/20,5-022.07 DELTA-MENDOTA,Incomplete,DM_FresnoCounty_Adopted,0020,TRUE,
/portal/gsp/preview/14,5-022.07 DELTA-MENDOTA,Incomplete,DM_Farmers_Adopted,0014,FALSE,
/portal/gsp/preview/63,5-022.13 TULE,Incomplete,DEID GSA,0063,FALSE,
/portal/gsp/preview/79,3-015 SANTA YNEZ RIVER VALLEY,Review In Progress,Central Management Area,0079,FALSE,
/portal/gsp/preview/51,5-022.14 KERN COUNTY,Incomplete,BVGSA,0051,FALSE,
/portal/gsp/preview/57,5-022.13 TULE,Incomplete,Basin 5-022.13 TCWA - Tule,0057,FALSE,
/portal/gsp/preview/43,5-022.13 TULE,Incomplete,Basin 5-022.13 - ETGSA GSP,0043,FALSE,
/portal/gsp/preview/7,5-022.07 DELTA-MENDOTA,Incomplete,Aliso WD GSA,0007,FALSE,
