gsp_id,gsa,variable,value
0054,kern_river_groundwater_sustainability_agency,ramboll,NA
0056,lower_tule_river_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0056,ltridgsa,ramboll,NA
0057,tri_county_water_authority_groundwater_sustainability_agency_tule,ramboll,NA
0058,east_kaweah_groundwater_sustainability_agency,ramboll,NA
0058,groundwater_sustainability_agency,ramboll,NA
0059,indian_wells_valley_groundwater_authority,ramboll,NA
0059,indian_wells_valley_groundwater_authority_groundwater_sustainability_agency,ramboll,NA
0061,gravelly_ford_water_district_groundwater_sustainability_agency,ramboll,NA
0063,delano_earlimart_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0065,pixley_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0067,castac_basin_gsa,ramboll,NA
0070,county_of_humboldt_groundwater_sustainability_agency,ramboll,NA
0071,west_san_jacinto_groundwater_sustainability_agency,ramboll,NA
0072,fillmore_and_piru_basins_groundwater_sustainability_agency_piru,ramboll,NA
0072,fpbgsa,ramboll,NA
0073,fillmore_and_piru_basins_groundwater_sustainability_agency_fillmore,ramboll,NA
0073,fpbgsa,ramboll,NA
0074,santa_margarita_groundwater_agency,ramboll,NA
0074,santa_margarita_groundwater_agency_gsa,ramboll,NA
0075,san_pasqual_valley_groundwater_sustainability_agency,ramboll,NA
0075,san_pasqual_valley_gsa,ramboll,NA
0076,pauma_valley_groundwater_sustainability_agency,ramboll,NA
0076,pvgsa,ramboll,NA
0077,upper_ventura_river_groundwater_agency,ramboll,NA
0077,upper_ventura_river_groundwater_agency_gsa,ramboll,NA
0078,santa_ynez_river_valley_basin_western_management_area_groundwater_sustainability_agency,ramboll,NA
0079,santa_ynez_river_valley_basin_central_management_area_groundwater_sustainability_agency,ramboll,NA
0080,santa_ynez_river_valley_basin_eastern_management_area_groundwater_sustainability_agency,ramboll,NA
0081,temescal_subbasin_groundwater_sustainability_agency,ramboll,NA
0082,enterprise_anderson_groundwater_sustainability_agency_enterprise,ramboll,NA
0083,enterprise_anderson_groundwater_sustainability_agency_anderson,ramboll,NA
0084,ukiah_valley_basin_groundwater_sustainability_agency,ramboll,NA
0084,ukiah_valley_basin_gsa,ramboll,NA
0085,county_of_tuolumne_groundwater_sustainability_agency,ramboll,NA
0085,groundwater_sustainability_agency,ramboll,NA
0085,stanislaus_and_tuolumne_rivers_groundwater_basin_association,ramboll,NA
0085,stanislaus_and_tuolumne_rivers_groundwater_basin_association_groundwater_sustainability_agency,ramboll,NA
0086,groundwater_sustainability_agency,ramboll,NA
0086,rock_creek_reclamation_district_groundwater_sustainability_agency,ramboll,NA
0086,vina_groundwater_sustainability_agency,ramboll,NA
0087,san_antonio_basin_groundwater_sustainability_agency,ramboll,NA
0088,siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_butte_valley,ramboll,NA
0090,siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_shasta,ramboll,NA
0091,city_of_hayward_groundwater_sustainability_agency,ramboll,NA
0091,east_bay_municipal_utility_district_groundwater_sustainability_agency,ramboll,NA
0091,groundwater_sustainability_agency,ramboll,NA
0092,cga,ramboll,NA
0092,colusa_groundwater_authority_groundwater_sustainability_agency_colusa,ramboll,NA
0092,glenn_groundwater_authority,ramboll,NA
