"","page_num","gsp_id","file_path","file_name","admin","basin_plan","sust_criteria","monitoring_networks","projects_mgmt_actions","is_comment","is_reference"
"34",2,"0058","Multipurpose_Files/portal_files//v2_gsp_num_id_0058.txt","v2_gsp_num_id_0058.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35",2,"0070","Multipurpose_Files/portal_files//v1_gsp_num_id_0070.txt","v1_gsp_num_id_0070.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",2,"0071","Multipurpose_Files/portal_files//v1_gsp_num_id_0071.txt","v1_gsp_num_id_0071.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",2,"0072","Multipurpose_Files/portal_files//v1_gsp_num_id_0072.txt","v1_gsp_num_id_0072.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38",2,"0073","Multipurpose_Files/portal_files//v1_gsp_num_id_0073.txt","v1_gsp_num_id_0073.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39",2,"0086","Multipurpose_Files/portal_files//v1_gsp_num_id_0086.txt","v1_gsp_num_id_0086.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40",2,"0094","Multipurpose_Files/portal_files//v1_gsp_num_id_0094.txt","v1_gsp_num_id_0094.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",2,"0099","Multipurpose_Files/portal_files//v1_gsp_num_id_0099.txt","v1_gsp_num_id_0099.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42",2,"0101","Multipurpose_Files/portal_files//v1_gsp_num_id_0101.txt","v1_gsp_num_id_0101.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",2,"0103","Multipurpose_Files/portal_files//v1_gsp_num_id_0103.txt","v1_gsp_num_id_0103.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44",2,"0106","Multipurpose_Files/portal_files//v1_gsp_num_id_0106.txt","v1_gsp_num_id_0106.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",2,"0113","Multipurpose_Files/portal_files//v1_gsp_num_id_0113.txt","v1_gsp_num_id_0113.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",2,"0114","Multipurpose_Files/portal_files//v1_gsp_num_id_0114.txt","v1_gsp_num_id_0114.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47",2,"0115","Multipurpose_Files/portal_files//v1_gsp_num_id_0115.txt","v1_gsp_num_id_0115.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",2,"0116","Multipurpose_Files/portal_files//v1_gsp_num_id_0116.txt","v1_gsp_num_id_0116.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49",2,"0117","Multipurpose_Files/portal_files//v1_gsp_num_id_0117.txt","v1_gsp_num_id_0117.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"50",2,"0121","Multipurpose_Files/portal_files//v1_gsp_num_id_0121.txt","v1_gsp_num_id_0121.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51",2,"0128","Multipurpose_Files/portal_files//v1_gsp_num_id_0128.txt","v1_gsp_num_id_0128.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52",2,"0132","Multipurpose_Files/portal_files//v1_gsp_num_id_0132.txt","v1_gsp_num_id_0132.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",2,"0136","Multipurpose_Files/portal_files//v1_gsp_num_id_0136.txt","v1_gsp_num_id_0136.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54",3,"0012","Multipurpose_Files/portal_files//v2_gsp_num_id_0012.txt","v2_gsp_num_id_0012.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",3,"0015","Multipurpose_Files/portal_files//v1_gsp_num_id_0015.txt","v1_gsp_num_id_0015.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56",3,"0015","Multipurpose_Files/portal_files//v2_gsp_num_id_0015.txt","v2_gsp_num_id_0015.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"57",3,"0016","Multipurpose_Files/portal_files//v1_gsp_num_id_0016.txt","v1_gsp_num_id_0016.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",3,"0017","Multipurpose_Files/portal_files//v1_gsp_num_id_0017.txt","v1_gsp_num_id_0017.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",3,"0018","Multipurpose_Files/portal_files//v1_gsp_num_id_0018.txt","v1_gsp_num_id_0018.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60",3,"0019","Multipurpose_Files/portal_files//v1_gsp_num_id_0019.txt","v1_gsp_num_id_0019.txt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61",3,"0021","Multipurpose_Files/portal_files//v2_gsp_num_id_0021.txt","v2_gsp_num_id_0021.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62",3,"0023","Multipurpose_Files/portal_files//v2_gsp_num_id_0023.txt","v2_gsp_num_id_0023.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63",3,"0024","Multipurpose_Files/portal_files//v1_gsp_num_id_0024.txt","v1_gsp_num_id_0024.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64",3,"0024","Multipurpose_Files/portal_files//v2_gsp_num_id_0024.txt","v2_gsp_num_id_0024.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65",3,"0025","Multipurpose_Files/portal_files//v1_gsp_num_id_0025.txt","v1_gsp_num_id_0025.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66",3,"0025","Multipurpose_Files/portal_files//v2_gsp_num_id_0025.txt","v2_gsp_num_id_0025.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67",3,"0026","Multipurpose_Files/portal_files//v1_gsp_num_id_0026.txt","v1_gsp_num_id_0026.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68",3,"0026","Multipurpose_Files/portal_files//v2_gsp_num_id_0026.txt","v2_gsp_num_id_0026.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69",3,"0028","Multipurpose_Files/portal_files//v1_gsp_num_id_0028.txt","v1_gsp_num_id_0028.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70",3,"0028","Multipurpose_Files/portal_files//v2_gsp_num_id_0028.txt","v2_gsp_num_id_0028.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71",3,"0031","Multipurpose_Files/portal_files//v1_gsp_num_id_0031.txt","v1_gsp_num_id_0031.txt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
