"name","num_appearances","num_gsps","mean_degree"
"water_storage_investment_program",71,15,2
"cal_water",70,9,3
"channelkeeper",70,2,8
"conejo",70,2,3
"delta_mendota_canal",70,6,3
"pou",70,3,1
"tier_3_dischargers",70,7,2
"af_wy",69,1,5
"disadvantaged_communities",69,27,1
"harwood",69,9,2
"jet_propulsion_laboratory",69,19,2
"snmp",69,6,4
"wy2015",69,11,2
"ag_innovations",68,1,19
"collaborative",68,1,30
"el_paso",68,2,4
"et",68,24,1
"johnson",68,8,2
"kaweah_subbasin_aem",68,2,8
"langley",68,2,8
"national_toxics_rule",68,2,7
"san_luis_canal",68,3,4
"arroyo_seco",67,7,3
"eel",67,1,6
"groundwater_sustainability_plan_development",67,19,2
"gssi",67,2,6
"hspf",67,9,3
"soil_moisture_budget",67,2,4
"af_y",66,3,3
"gac",66,3,2
"hydrological_operations_simulation_system",66,5,2
"maf",66,10,2
"santa_ynez_uplands",66,1,6
"water_resources",66,7,3
"adaptive",65,32,1
"laguna_seca",65,1,11
"miller",65,10,2
"franciscan",64,7,2
"groundwater_communication_portal",64,4,2
"north_fork_kings",64,7,2
"pcbl",64,3,8
"santa_rosa_plain",64,3,4
"facility",63,4,3
"mpep",63,1,12
"projected",63,8,2
"san_francisco_estuary_institute",63,5,2
"affiliated_party",62,1,13
"basin_management_objectives",62,8,2
"department_of_health_services",62,15,2
"dms",62,8,2
"morongo_band_of_mission_indians",62,1,11
"soil_agricultural_groundwater_banking_index",62,7,2
"turner",62,6,3
"van_duzen",62,1,5
"eastside",61,3,3
"groundwater_sustainability_agency_parties",61,6,2
"kern_fan",61,5,3
"lsce_team",61,1,34
"mas",61,11,2
"faye",60,1,11
"laguna",60,8,1
"marcus_trotta",60,3,7
"normalized_difference_vegetation_index",60,5,2
"rain_managed_aquifer_recharge",60,5,2
"south_fork",60,8,3
"unsaturated_zone_flow",60,2,6
"water_forum",60,4,6
"wy2070",60,7,1
"north_yuba",59,2,8
"wc",59,8,2
"bsk",58,3,4
"nuclear_magnetic_resonance",58,1,5
"scada",58,11,2
"searles_valley_minerals",58,1,8
"brown",57,20,2
"chronic_lowering_of_groundwater_levels",57,5,3
"folsom_south_canal",57,1,13
"horizon",57,3,9
"lithologic",57,12,2
"santa_margarita_sandstone",57,4,4
"water_availability_analysis",57,1,8
"agricultural",56,23,1
"big_bear_lake_department_of_water_and_power",56,1,7
"metzger",56,2,6
"oawd",56,1,8
"pliocene",56,18,1
"bcm",55,3,3
"et_al",55,24,1
"flood_managed_aquifer_recharge",55,6,2
"maa",55,1,22
"mbk",55,2,4
"nate",55,1,7
"navd88",55,2,3
"ch2_m_hill",54,7,2
"niles_cone",54,1,11
"pumping_trough_pipeline",54,4,2
"total_maximum_daily_load",54,7,4
"trotta",54,3,2
"water_resources_investigation",54,3,2
"cal_am",53,3,4
"dibblee",53,9,2
"english_hills",53,1,8
"jerry_brown",53,29,1
"santa",53,11,2
"sustainable",53,12,1
"community_water_center",52,19,1
"fcma",52,1,13
"gcid",52,1,10
"shasta_critical",52,3,2
"williamson_et_al",52,8,2
"yolo_bypass",52,2,6
"basin_prioritization",51,7,2
"buellton_upland",51,2,2
"freshwater_trust",51,2,12
"metropolitan_bakersfield",51,5,3
"coa",50,3,5
"erp",50,1,16
"golden_state_water_company",50,5,6
"group_1",50,3,2
"loch_lomond",50,2,8
"rmse",50,6,1
"corral_de_tierra",49,1,6
"us_census_bureau",49,13,2
"as_for_the_santa_rosa",48,1,3
"associates",48,14,2
"chair",48,7,1
"cienega",48,2,2
"nde",48,1,6
"nebigsm",48,1,12
"okieville",48,1,5
"san_timoteo",48,2,6
"c",47,9,2
"casitas_springs",47,1,8
"cwc",47,6,2
"desert_research_institute",47,1,8
"gspwg",47,1,21
"luhdorff",47,7,3
"mehrten",47,6,3
"napa_state_hospital",47,1,5
"oregon",47,6,2
"study_unit",47,1,2
"groundwater_sustainability_plan_submittal",46,17,2
"mab",46,1,12
"quality_assurance",46,6,2
"wash",46,3,1
"west_san_jacinto",46,1,10
"white_wolf",46,6,3
"camarillo_hills",45,3,3
"robin_huffman",45,4,1
"fugro",44,8,2
"todd",44,10,1
"wwtf",44,4,3
"aerial_electromagnetic_method",43,2,6
"aoi",43,6,1
"gei_consultants",43,13,2
"gpc",43,2,10
"human_right_to_water",43,9,2
"los",43,8,1
"monterey_peninsula_water_resources_system",43,1,2
"north_san_benito",43,1,4
"prms",43,2,5
"program",43,8,1
"purisima",43,1,5
"calleguas_mwd",42,1,7
"columbia_canal_company",42,6,3
"groundwater",42,13,2
"hsu",42,5,1
"mukae",42,4,3
"putah",42,2,6
"rd",42,2,2
"relative_percent_difference",42,4,7
"sc",42,5,2
"tcc",42,2,2
"thousand_acre_feet",42,1,6
"us_census",42,9,3
"uwmps",42,10,1
"american_community_survey",41,16,2
"bz",41,1,6
"continuing_calibration_verification",41,1,1
"fox",41,4,3
"groundwater_base_pumping_allocation_program",41,2,2
"groundwater_sustainability_agency_representatives",41,8,1
"groundwater_sustainability_plan_group_representatives",41,6,3
"n_a",41,14,1
"project_team",41,3,6
"scott",41,4,3
"uwmp",41,7,1
"water_years",41,4,3
"affiliated_parties",40,1,15
"cag",40,3,7
"colusa_drain",40,1,10
"ford",40,9,1
"general_manager",40,7,1
"gma",40,1,2
"group_2",40,5,1
"jacobs",40,5,3
"luhdorff_scalmanini",40,13,2
"no3",40,11,2
"public_works",40,4,4
"sldmwa",40,3,5
"toro_canyon_storage_unit",40,1,3
"abby_ostovar",39,1,1
"agricultural_ma",39,1,8
"bvihm",39,2,3
"cenozoic",39,6,2
"ecos",39,2,6
"helley",39,7,1
"igsm",39,3,2
"kh",39,2,3
"sam_magill",39,3,1
"trc",39,2,3
"yucaipa_hills",39,1,7
"bachman",38,3,4
"ballona",38,1,6
"direct_potable_reuse",38,3,3
"fernbridge",38,1,4
"nsac",38,1,8
"physical_solution",38,1,9
"residuum",38,1,6
"santa_ynez_mountains",38,4,3
"vic",38,10,1
"alternate",37,11,2
"arroyo_seco_cone",37,2,4
"cabazon_storage_unit",37,1,2
"coalitions",37,7,1
"expert_panel",37,5,2
"nitrate_control_program",37,5,2
"p_corp",37,7,3
"sustainability",37,12,2
"sws",37,5,1
"alliance",36,1,9
"bill",36,21,1
"d",36,7,1
"hemet_san_jacinto",36,1,5
"hicham_eltal",36,1,8
"larry_walker_associates",36,10,2
"mound",36,5,2
"nrcan",36,7,2
"oettle_bridge",36,6,1
"rfp",36,10,1
"rosalyn",36,1,9
"stream_maintenance_program",36,4,2
"sustainable_groundwater_management",36,16,2
"afy",35,10,2
"annual_flow",35,1,2
"aqua_geo_frameworks",35,3,6
"atascadero_mutual_water_company",35,1,10
"groundwater_extraction_credit_marketing_and_trading_program",35,2,4
"ladwp",35,2,8
"lr",35,6,2
"mokelumne",35,3,2
"natural_resource_conservation_service",35,5,1
"pest",35,6,2
"pts_min",35,6,1
"subtask",35,1,6
"tejon_mountain_village",35,1,4
"ug",35,1,5
"water_reclamation_plant",35,2,2
"climate_change",34,8,2
"east_grove",34,2,1
"eastside_bypass",34,3,3
"first_point",34,2,4
"hollister_ma",34,1,11
"hopkins",34,8,2
"ojai_conglomerate",34,1,2
"rmw_wl",34,2,6
"simi_valley_water_quality_control_plant",34,1,9
"streamflow",34,15,2
"surface_water_priority",34,5,1
"tcca",34,2,4
"terrace_deposits",34,3,1
"tribe",34,8,2
"wy2012",34,11,1
"alternate_representative",33,6,3
"east_las_posas",33,1,11
"facebook",33,11,2
"freeman_diversion",33,5,2
"gei",33,8,2
"ghd",33,2,2
"groundwater_sustainability_plan_alternative",33,1,8
"grunsky",33,3,2
"projects_and_climate_change",33,1,1
"suisun",33,2,3
"sustainability_goal",33,7,1
"water_evaluation_and_planning",33,2,2
"ag_fields",32,1,6
"continuously_operating_reference_stations",32,3,3
"fao",32,3,3
"gs",32,3,4
"gwl",32,4,2
"indirect_potable_reuse",32,2,4
"kj",32,2,6
"reduction_without_projects_scenario_1",32,3,2
"simi",32,1,12
"stream_system",32,1,13
"tem",32,2,4
"thomasson",32,3,3
"water_quality_goals",32,3,4
"aewsd",31,2,6
"chapter",31,7,1
"foster_park_protocols",31,1,6
"gebco",31,3,3
"groundwater_sustainability_agency_collaborative",31,1,10
"hanson",31,10,1
"hwg",31,1,5
"kenneth_d_schmidt",31,9,1
"montezuma_hills",31,1,5
"oxnard_forebay",31,5,1
"rdr",31,1,1
"safca",31,1,8
"study_units",31,1,5
"town",31,3,6
"arsenic",30,8,2
"caldwell",30,12,2
"ebp",30,1,4
"environmental_science_associates",30,3,3
"framework",30,3,5
"i5",30,4,1
"ign",30,3,3
"middle_fork",30,5,3
"monterey_county_department_of_environmental_health",30,5,3
"nawqa_program",30,1,7
"str",30,6,1
"svom",30,1,2
"this_management_action",30,6,1
"uses",30,19,1
"water_bank",30,2,6
"well",30,15,1
"whittaker_bermite",30,1,1
"woods_central_diversion",30,6,1
"adjustment_factors_year",29,4,2
"bzme",29,1,4
"hicham",29,1,7
"llfz",29,1,4
"lompoc_regional_wastewater_reclamation_plant",29,1,10
"newhall_land_and_farming",29,1,5
"olympia",29,1,5
"ood",29,1,7
"project_and_management_action",29,4,2
"sacramento_valley_water_quality_coalition",29,6,2
"stetson",29,5,2
