GSP_ID,NAME20,GEOID20,Basin_Subb
36,lost_hills,644280,5-022.14
36,mckittrick,644924,5-022.14
36,mexican_colony,647192,5-022.14
36,oildale,653448,5-022.14
36,richgrove,660606,5-022.14
36,rivergrove,661108,5-022.14
36,rosedale,662854,5-022.14
36,smith_corner,672338,5-022.14
36,south_taft,673388,5-022.14
36,stebbins,674021,5-022.14
36,taft_heights,677588,5-022.14
36,tarina,677934,5-022.14
36,tupman,680784,5-022.14
36,valley_acres,681722,5-022.14
37,dustin_acres,620284,5-022.14
38,gustine,631568,5-022.07
38,los_banos,644028,5-022.07
38,volta,683108,5-022.07
42,corcoran,616224,5-022.12
42,lemoore,641152,5-022.12
42,hanford,631960,5-022.12
42,armona,602700,5-022.12
42,grangeville,630686,5-022.12
42,hardwick,632156,5-022.12
42,home_garden,634281,5-022.12
42,kettleman_city,638394,5-022.12
42,laton,640746,5-022.12
42,lemoore_station,641166,5-022.12
42,stratford,675252,5-022.12
43,porterville,658240,5-022.13
43,ducor,620032,5-022.13
43,east_porterville,621012,5-022.13
43,poplar-cotton_center,658191,5-022.13
43,richgrove,660606,5-022.13
43,terra_bella,678288,5-022.13
44,bakersfield,603526,5-022.14
44,choctaw_valley,613278,5-022.14
45,fresno,627000,5-022.06
45,rolling_hills,662625,5-022.06
47,escalon,622790,5-022.01
47,ripon,661026,5-022.01
47,stockton,675000,5-022.01
47,galt,628112,5-022.01
47,oakdale,652694,5-022.01
47,riverbank,661068,5-022.01
47,lathrop,640704,5-022.01
47,lodi,642202,5-022.01
47,manteca,645484,5-022.01
47,acampo,600156,5-022.01
47,august,603209,5-022.01
47,collierville,614708,5-022.01
47,country_club,616651,5-022.01
47,del_rio,618695,5-022.01
47,dogtown,619440,5-022.01
47,east_oakdale,620907,5-022.01
47,farmington,623630,5-022.01
47,french_camp,626028,5-022.01
47,garden_acres,628182,5-022.01
47,kennedy,638065,5-022.01
47,knights_ferry,638786,5-022.01
47,lincoln_village,641558,5-022.01
47,linden,641670,5-022.01
47,lockeford,642104,5-022.01
47,morada,649180,5-022.01
47,orange_blossom,653987,5-022.01
47,peters,656798,5-022.01
47,rancho_calaveras,659426,5-022.01
47,taft_mosswood,677595,5-022.01
47,terminous,678232,5-022.01
47,thornton,678568,5-022.01
47,valley_home,681792,5-022.01
47,valley_springs,681890,5-022.01
47,victor,682562,5-022.01
47,wallace,683304,5-022.01
47,waterloo,683626,5-022.01
47,woodbridge,686230,5-022.01
48,alpaugh,601164,5-022.13
50,visalia,682954,5-022.11
50,tulare,680644,5-022.11
50,goshen,630476,5-022.11
50,matheny,646223,5-022.11
50,patterson_tract,656120,5-022.11
50,waukena,683724,5-022.11
51,buttonwillow,609332,5-022.14
52,marysville,646170,5-021.61
52,wheatland,685012,5-021.61
52,beale_afb,604576,5-021.61
52,linda,641572,5-021.61
52,olivehurst,653714,5-021.61
52,plumas_lake,657829,5-021.61
52,rio_oso,660970,5-021.61
53,yuba_city,686972,5-021.60
53,marysville,646170,5-021.60
53,honcut,634428,5-021.60
54,bakersfield,603526,5-022.14
54,arvin,602924,5-022.14
54,shafter,671106,5-022.14
54,bakersfield_country_club,603546,5-022.14
54,benton_park,605356,5-022.14
54,casa_loma,611696,5-022.14
54,cottonwood,616623,5-022.14
54,east_bakersfield,620515,5-022.14
54,east_niles,620903,5-022.14
54,edison,621544,5-022.14
54,el_adobe,621691,5-022.14
54,fairfax,623158,5-022.14
54,fuller_acres,627190,5-022.14
54,goodmanville,630412,5-022.14
54,greenacres,630938,5-022.14
54,greenfield,630987,5-022.14
54,hillcrest,633689,5-022.14
54,la_cresta,639052,5-022.14
54,lakeside,639759,5-022.14
54,lamont,640088,5-022.14
54,oildale,653448,5-022.14
54,olde_stockdale,653503,5-022.14
54,old_river,653574,5-022.14
54,old_stine,653603,5-022.14
54,potomac_park,658471,5-022.14
54,pumpkin_center,658940,5-022.14
54,rexland_acres,660370,5-022.14
54,rosedale,662854,5-022.14
54,tarina,677934,5-022.14
54,weedpatch,683863,5-022.14
56,corcoran,616224,5-022.13
56,porterville,658240,5-022.13
56,tulare,680644,5-022.13
56,pixley,657512,5-022.13
56,poplar-cotton_center,658191,5-022.13
56,tipton,678750,5-022.13
56,woodville,686482,5-022.13
56,woodville_farm_labor_camp,686489,5-022.13
57,delano,618394,5-022.13
57,allensworth,601010,5-022.13
58,woodlake,686300,5-022.11
58,exeter,623126,5-022.11
58,lindsay,641712,5-022.11
58,porterville,658240,5-022.11
58,el_rancho,622360,5-022.11
58,ivanhoe,636910,5-022.11
58,lindcove,641656,5-022.11
58,plainview,657568,5-022.11
58,strathmore,675280,5-022.11
58,tonyville,678932,5-022.11
58,tooleville,678949,5-022.11
59,ridgecrest,660704,6-054
59,china_lake_acres,613157,6-054
59,inyokern,636658,6-054
59,pearsonville,656294,6-054
59,ridgecrest_heights,660705,6-054
63,delano,618394,5-022.13
63,earlimart,620438,5-022.13
63,jovista,637568,5-022.13
63,richgrove,660606,5-022.13
63,rodriguez_camp,662496,5-022.13
65,earlimart,620438,5-022.13
65,pixley,657512,5-022.13
65,teviston,678336,5-022.13
67,lebec,640956,5-029
70,fortuna,625296,1-010
70,rio_dell,660900,1-010
70,ferndale,623910,1-010
70,hydesville,636126,1-010
70,loleta,642328,1-010
70,scotia,670518,1-010
71,perris,656700,8-005
71,moreno_valley,649270,8-005
71,menifee,646842,8-005
71,homeland,634316,8-005
71,lakeview,639836,8-005
71,march_arb,645680,8-005
71,mead_valley,646646,8-005
71,nuevo,652624,8-005
71,romoland,662756,8-005
71,winchester,685894,8-005
72,piru,657372,4-004.06
73,santa_paula,670042,4-004.05
73,fillmore,624092,4-004.05
74,scotts_valley,670588,3-027
74,ben_lomond,605332,3-027
74,boulder_creek,607652,3-027
74,brookdale,608478,3-027
74,felton,623826,3-027
74,lompico,642510,3-027
74,mount_hermon,649796,3-027
74,zayante,687090,3-027
75,san_diego,666000,9-010
76,pala,655058,9-007.01
77,san_buenaventura_(ventura),665042,4-003.01
77,ojai,653476,4-003.01
77,meiners_oaks,646702,4-003.01
77,mira_monte,648046,4-003.01
77,oak_view,653182,4-003.01
78,lompoc,642524,3-015
78,mission_hills,648186,3-015
78,vandenberg_afb,682072,3-015
78,vandenberg_village,682086,3-015
79,buellton,608758,3-015
79,solvang,672576,3-015
80,solvang,672576,3-015
80,ballard,603694,3-015
80,los_olivos,644168,3-015
80,santa_ynez,670182,3-015
81,corona,616350,8-002.09
81,norco,651560,8-002.09
81,coronita,616420,8-002.09
81,el_cerrito,621810,8-002.09
81,home_gardens,634302,8-002.09
82,redding,659920,5-006.04
82,anderson,602042,5-006.04
82,bella_vista,604926,5-006.04
82,palo_cedro,655296,5-006.04
83,redding,659920,5-006.03
83,anderson,602042,5-006.03
83,centerville,612415,5-006.03
83,cottonwood,616630,5-006.03
83,happy_valley,632036,5-006.03
83,igo,636252,5-006.03
83,lake_california,639460,5-006.03
84,ukiah,681134,1-052
84,calpella,609990,1-052
84,redwood_valley,660214,1-052
84,talmage,677784,1-052
85,ripon,661026,5-022.02
85,ceres,612524,5-022.02
85,oakdale,652694,5-022.02
85,riverbank,661068,5-022.02
85,waterford,683612,5-022.02
85,modesto,648354,5-022.02
85,airport,600535,5-022.02
85,bystrom,609353,5-022.02
85,del_rio,618695,5-022.02
85,east_oakdale,620907,5-022.02
85,empire,622622,5-022.02
85,knights_ferry,638786,5-022.02
85,orange_blossom,653987,5-022.02
85,riverdale_park,661106,5-022.02
85,rouse,663168,5-022.02
85,salida,664210,5-022.02
85,west_modesto,684578,5-022.02
86,chico,613014,5-021.57
86,butte_creek_canyon,609310,5-021.57
86,butte_valley,609324,5-021.57
86,durham,620270,5-021.57
86,nord,651574,5-021.57
87,los_alamos,643252,3-014
87,vandenberg_afb,682072,3-014
88,dorris,619584,1-003
88,macdoel,644812,1-003
88,mount_hebron,649768,1-003
89,etna,622972,1-005
89,fort_jones,625128,1-005
89,greenview,631134,1-005
90,yreka,686944,1-004
90,montague,648690,1-004
90,weed,683850,1-004
90,carrick,611481,1-004
90,edgewood,621530,1-004
90,gazelle,629252,1-004
90,grenada,631246,1-004
90,lake_shastina,639728,1-004
91,oakland,653000,2-009.04
91,richmond,660620,2-009.04
91,san_pablo,668294,2-009.04
91,alameda,600562,2-009.04
