"lat","lng","DAC","MHI","POP","place_name","place_type"
32.6490093340122,-117.010143371075,0,123269,792,"rancho_del_rey","neighborhood"
38.4191551574254,-122.737420518927,0,93233,2332,"southwest_santa_rosa","neighborhood"
37.3649895377752,-121.846459792138,1,57625,813,"alexian","neighborhood"
37.3627093617167,-121.839370258221,0,73162,827,"gramercy_and_alexander","neighborhood"
37.3117740798671,-121.858572738288,1,27669,2908,"spartan_keyes_and_wool_creek","neighborhood"
37.3273785354549,-121.850441849318,0,73482,1551,"kennedy","neighborhood"
37.7162921922472,-122.464970237207,0,66957,1366,"ingleside_heights","neighborhood"
37.7624707900424,-122.4808166594,0,130156,2321,"outer_sunset","neighborhood"
37.7476497777958,-122.477658126366,0,83725,1530,"parkside","neighborhood"
37.5867569056433,-122.375673088143,0,114205,895,"easton_addition","neighborhood"
37.7154350732158,-122.476550393343,1,61490,2308,"parkmerced","neighborhood"
37.4738911182321,-122.21024651983,0,63438,3397,"fair_oaks","neighborhood"
33.9556791344459,-117.333417079679,0,54375,1710,"canyon_crest","neighborhood"
32.9098824703674,-117.093444744152,0,174844,586,"scripps_ranch","neighborhood"
34.054441043018,-117.197735874996,1,45995,1987,"redlands","neighborhood"
34.1754281870722,-117.317359514816,1,47318,1374,"university","neighborhood"
38.7546017293447,-121.332592588957,0,50595,1358,"woodcreek_oaks","neighborhood"
34.2333984889364,-118.465772322481,1,45203,1124,"north_hills_east","neighborhood"
33.8129087113294,-118.129603401397,0,108750,1106,"south_of_conant","neighborhood"
32.6173448242412,-117.031058514641,0,104679,1783,"sunbow","neighborhood"
38.706320424958,-121.37955818029,0,70833,1308,"north_country","neighborhood"
34.0604481849354,-118.271933631062,1,50548,2544,"westlake_south","neighborhood"
33.7571690944231,-117.879581569553,1,45066,1637,"washington_square","neighborhood"
38.657907053143,-121.501101260825,0,115323,1814,"natomas_park","neighborhood"
33.7852604321528,-117.910525764196,0,73750,2473,"anaheim_resort","neighborhood"
33.75068761555,-117.924572308202,1,46528,1813,"riverview_west","neighborhood"
38.6387191658123,-121.533696500447,0,100729,1729,"gateway_west","neighborhood"
38.6132703458946,-121.526475308896,0,95609,1856,"willow_creek","neighborhood"
33.7642884107282,-117.89997577146,0,101625,1708,"edna_park","neighborhood"
33.7579834243142,-117.915906519595,1,60156,1209,"santa_anita","neighborhood"
34.1991554341326,-118.411648085536,1,48523,1912,"valley_glen","neighborhood"
34.0223847211111,-118.491047117936,1,122708,1054,"downtown","neighborhood"
34.1191371047562,-118.200907423252,0,60750,1605,"highland_park","neighborhood"
37.379160603859,-121.845133345291,0,119688,2430,"mayglen_-_little_rock","neighborhood"
37.3734402749935,-121.848912960507,0,84375,1956,"cedarville_-_giannotta","neighborhood"
37.3604544083303,-121.860546276856,1,21875,1053,"el_ranco_verde","neighborhood"
37.3773493408662,-121.82835981273,0,82019,1824,"la_pala","neighborhood"
37.3739467126061,-121.83165750211,0,101500,1524,"john_vianney","neighborhood"
37.3946482244836,-121.852470056171,0,127170,2953,"st._victor","neighborhood"
37.3452835920815,-121.837552121586,1,52969,1702,"poco","neighborhood"
37.3034742804332,-121.86987970097,0,66250,836,"the_plant","neighborhood"
34.1506190621308,-118.267197214433,0,54643,1933,"vineyard","neighborhood"
37.3262029192012,-121.858771357574,1,47411,2466,"little_saigon_and_spring_brook","neighborhood"
37.4067400722558,-121.851011888418,0,82045,980,"piedmont","neighborhood"
37.3182380906384,-121.922253333801,0,90848,3324,"buena_vista","neighborhood"
33.7422100678548,-118.104790130923,0,123482,957,"old_towne","neighborhood"
33.7461939099053,-118.10780882154,0,110461,552,"bridgeport","neighborhood"
33.7678062786199,-118.180628865491,1,50648,1742,"alamitos_beach","neighborhood"
33.8797239114266,-118.17266036159,1,27321,853,"north_long_beach","neighborhood"
34.038777950266,-118.49233669761,0,210972,810,"north_of_montana","neighborhood"
37.7817784156504,-122.481568083411,0,69444,1236,"little_russia","neighborhood"
37.7815250886342,-122.475363249398,0,148125,845,"central_richmond","neighborhood"
37.7852489862937,-122.475619482685,0,150481,890,"lake_street","neighborhood"
37.7731657548016,-122.491767558531,0,128510,1115,"outer_richmond","neighborhood"
37.7376329136275,-122.388398504089,0,74271,1298,"bayview","neighborhood"
33.7917119821322,-118.17450263388,1,46029,984,"poly_high","neighborhood"
34.0036370024579,-118.442427925398,0,117917,732,"mar_vista","neighborhood"
37.8447128810908,-122.241150867988,0,228542,1024,"upper_rockridge","neighborhood"
37.8262596190803,-122.215755678736,0,203542,1790,"montclair","neighborhood"
37.8036848785918,-122.212101269163,0,99750,1170,"upper_dimond","neighborhood"
37.7839133481339,-122.196377398787,0,96696,963,"maxwell_park","neighborhood"
37.7813136637867,-122.184940141046,0,86563,1771,"mills_college","neighborhood"
37.7899307609003,-122.181550232749,0,108484,754,"redwood_heights","neighborhood"
37.8478651490466,-122.274280908657,0,102837,911,"south_berkeley","neighborhood"
37.7171725095444,-122.136128951182,0,89000,854,"assumption_parish","neighborhood"
37.7129836590276,-122.132970931737,0,89177,920,"upper_bal","neighborhood"
34.2371714613112,-118.445887841698,0,50168,2825,"arleta","neighborhood"
37.7032550598836,-122.130737211536,0,110313,2457,"lower_bal","neighborhood"
37.635258296084,-122.07981464969,0,82143,2426,"harder-tennyson","neighborhood"
37.6417775035378,-122.067411101813,0,120893,2140,"whitman_-_wocine","neighborhood"
38.7643409299691,-121.303458191032,1,44107,2089,"kaseberg_-_kingswood","neighborhood"
38.8044327969396,-121.334619585048,0,173555,1798,"blue_oaks","neighborhood"
38.785067066056,-121.293358462987,0,116599,1412,"highland_reserve","neighborhood"
37.5519841170394,-121.948804628013,0,164792,1926,"kimber_-_gomes","neighborhood"
37.542620789925,-121.936324487692,0,215721,2406,"mission_valley","neighborhood"
34.0664488050991,-117.154175671483,1,97826,988,"north_redlands","neighborhood"
37.9133247201329,-122.376881695452,0,136250,1843,"point_richmond","neighborhood"
37.9275654061007,-122.345189954354,1,57230,1600,"stege","neighborhood"
37.9282598690625,-122.356529553873,0,66196,1691,"coronado","neighborhood"
34.0054861597443,-118.313022522996,0,45667,2028,"leimert_park","neighborhood"
34.1415400221272,-118.231270369951,0,64821,1344,"somerset","neighborhood"
34.2117945571924,-118.590663047874,0,80905,816,"canoga_park","neighborhood"
33.8115712921934,-118.323780562959,0,82344,1113,"southeast_torrance","neighborhood"
33.8211245308811,-118.09609824267,0,125250,798,"carson_park","neighborhood"
34.1217435247332,-117.304691085388,0,56793,969,"roosevelt","neighborhood"
34.0895728288989,-118.384972162052,0,61791,1053,"norma_triangle","neighborhood"
34.0253571875112,-118.337736267295,1,44625,982,"crenshaw","neighborhood"
34.0035275984502,-118.39679948807,0,141563,1068,"studio_village","neighborhood"
34.0504683418835,-117.16139585873,0,95322,2340,"south_redlands","neighborhood"
34.0592418376715,-118.269484354738,1,19573,2141,"westlake_north","neighborhood"
34.0313932761252,-118.385832954575,0,52295,1192,"palms","neighborhood"
34.0354595034571,-118.487937351628,0,150294,1855,"wilshire_montana","neighborhood"
37.3597189788549,-121.827678761685,0,71389,1735,"lyndale","neighborhood"
37.3915616606096,-121.868007594649,0,110605,1628,"old_post","neighborhood"
37.3956805302791,-121.899320966416,0,86734,1615,"brokaw","neighborhood"
37.2976303009136,-121.909471800142,0,123920,1373,"willow_glen_west","neighborhood"
34.058512144182,-118.076654090118,1,50379,2936,"garvey","neighborhood"
37.3855604250613,-121.879243459667,0,139844,1921,"vinci_north","neighborhood"
37.2895904796813,-121.900687278385,0,222727,1057,"cherry","neighborhood"
37.2812630055666,-121.93390496408,0,120854,1433,"bonnett","neighborhood"
37.7904205855694,-122.410540389475,0,91667,1378,"lower_nob_hill","neighborhood"
37.7861600809295,-122.413901722972,1,54650,843,"tenderloin","neighborhood"
33.9897388336416,-117.364718657029,0,77656,1046,"downtown_riverside","neighborhood"
34.0111092856891,-117.370098098024,0,80329,3093,"northside","neighborhood"
38.7669617479053,-121.239576617935,0,131250,2488,"east_roseville_parkway","neighborhood"
38.754997392664,-121.271783225439,1,36086,326,"enwood","neighborhood"
38.7638515179076,-121.289573972877,0,104237,1093,"diamond_oaks","neighborhood"
34.1413441944437,-117.215104078243,0,37114,886,"amber_hills","neighborhood"
34.1443124309231,-117.203315596897,0,97065,1590,"small_canyon","neighborhood"
38.0316070490145,-121.319899616565,0,42228,1904,"bear_creek","neighborhood"
38.0021008173266,-121.292814410531,1,48472,1529,"valley_oak","neighborhood"
33.7349888077971,-117.941694057496,0,101429,3899,"west_grove_valley","neighborhood"
36.7974920664565,-119.654985464877,0,112443,3167,"loma_vista","neighborhood"
33.7117928947347,-117.995201253865,0,39159,2638,"oak_view","neighborhood"
33.7183275258853,-118.066787535727,0,92500,1501,"sunset_beach","neighborhood"
38.4678200639746,-121.437280372603,0,65156,1435,"valley_hi_/_north_laguna","neighborhood"
37.4060290875054,-122.12994969304,0,211648,1636,"green_acres","neighborhood"
37.255917585803,-121.917614212639,0,143942,2217,"oster","neighborhood"
37.2522091119878,-121.901419545404,0,105063,1431,"branham_-_kirk","neighborhood"
37.2391084996184,-121.929939522287,0,194286,1401,"cambrian","neighborhood"
37.248190528659,-121.87705041746,0,88125,1511,"almaden_community_association","neighborhood"
37.2351915511047,-121.782352330391,0,140393,771,"santa_teresa","neighborhood"
34.1248801018618,-117.20216081167,0,66818,3389,"crossroads","neighborhood"
37.7393664130887,-122.433318692089,0,154125,1620,"fairmount","neighborhood"
37.731485176191,-122.402035553491,0,88472,1846,"silver_terrace","neighborhood"
37.8078536755817,-122.217203816737,0,156250,827,"glenview","neighborhood"
37.7775164033913,-122.176423927034,0,76810,1729,"millsmont","neighborhood"
37.8857871530613,-122.250141077616,0,208906,807,"berkeley_hills","neighborhood"
37.8834900641023,-122.264215518679,0,125543,700,"north_berkeley","neighborhood"
37.8805195943557,-122.287061775362,0,116607,855,"northwest_berkeley","neighborhood"
33.4584384181046,-117.097851777285,0,158125,1766,"wolf_creek","neighborhood"
37.6973548231865,-122.142877146586,0,89018,3318,"floresta_gardens_-_bradrick","neighborhood"
37.6938800796966,-122.147378801768,0,116875,1947,"washington_manor_-_bonaire","neighborhood"
33.9602620405267,-117.422270265371,0,46985,1053,"grand","neighborhood"
37.5518259996851,-122.000631722348,0,101898,1781,"glenmoor","neighborhood"
37.6399271296467,-122.057574559231,0,96490,1430,"mission_-_garin","neighborhood"
37.618527755022,-122.031964271854,0,114250,1516,"fairway_prk","neighborhood"
33.8195091236311,-116.541250228771,1,42955,1883,"downtown_palm_springs","neighborhood"
37.5372859149264,-121.971154037994,0,103500,1009,"south_sundale","neighborhood"
40.5962703958644,-122.370523302363,0,48125,2127,"bluffs","neighborhood"
40.6013805823401,-122.354731442146,1,44520,2669,"tanglewood","neighborhood"
40.5715741316159,-122.434413485876,0,80050,1182,"mary_lake","neighborhood"
40.579253231873,-122.421249797263,0,80000,2058,"lakeside_avenues_subdivision","neighborhood"
38.8927225761303,-121.283957686855,0,90482,1953,"downtown_lincoln","neighborhood"
40.5893575953195,-122.404802722168,1,45347,938,"lakeview","neighborhood"
37.9273351280848,-122.326693593662,0,51250,1438,"park_plaza","neighborhood"
40.6215076322886,-122.396059337349,1,55125,637,"jennifer_manor","neighborhood"
40.6175731625442,-122.369852908335,1,40667,1207,"redding_valley_view_subdivision","neighborhood"
40.5468453093264,-122.326678887212,0,64015,1649,"saratoga_north-amend_2565","neighborhood"
40.5547105832684,-122.349534187233,1,48421,1667,"echo_oaks_subdivision","neighborhood"
40.5474115793941,-122.339575939039,0,62404,1366,"alta_mesa","neighborhood"
40.5888232009145,-122.427560160928,0,71790,1037,"sunset_terrace","neighborhood"
40.5680031864651,-122.419749759136,0,102188,1142,"ridgeview","neighborhood"
40.5236881096777,-122.364205613753,0,90833,1261,"girvan","neighborhood"
40.5435001743694,-122.346396564598,0,84338,820,"enterprise","neighborhood"
40.5428446183754,-122.333325155058,0,96964,1527,"victor_estates","neighborhood"
40.6057132953292,-122.368063848039,1,43269,1554,"woodcliff_estates","neighborhood"
40.6152913554985,-122.381733800278,1,33966,1046,"northpoint","neighborhood"
40.5889191632702,-122.347712680902,1,47321,972,"mt_shasta_mall","neighborhood"
40.5983376639441,-122.344930518358,1,54329,2158,"quail_ridge","neighborhood"
36.7104411440843,-119.812304817756,1,66386,1323,"edison","neighborhood"
34.1571327775018,-118.26991481958,0,73150,1451,"fremont_park","neighborhood"
34.1598403558123,-118.277683257785,0,82292,1386,"pelanconi","neighborhood"
38.0246416603133,-121.357628125847,0,31273,2034,"sherwoods_manor","neighborhood"
37.3766552845867,-122.165771848695,0,250001,801,"palo_alto_hills","neighborhood"
37.2521852039626,-121.879247343533,0,92689,634,"dentwood","neighborhood"
37.306903075498,-121.824508759713,0,94597,1362,"windmill_springs","neighborhood"
37.3058328375985,-121.805632791856,0,126250,1924,"brigadoon","neighborhood"
37.3103058912392,-121.77989008755,0,183750,1666,"fowler","neighborhood"
37.7181798527642,-122.418761343452,1,11205,153,"mclaren_park","neighborhood"
36.5569596482232,-121.923174683052,0,70638,1006,"northwest_carmel","neighborhood"
32.8148107672136,-117.22675427362,0,119125,975,"pacific_beach","neighborhood"
33.912229267568,-117.453679385169,1,40292,1787,"arlington","neighborhood"
