NAME20,GEOID20,Basin_Subb,lat,lng,DAC,MHI,POP,incorporated,per_latino,exists,GSP_ID
camarillo,610046,4-006,34.2229965651904,-119.032168060026,0,98039,68583,1,29.1,1,17
somis,672632,4-006,34.2652675514162,-118.998417674213,0,101875,1189,0,26.3,1,17
moorpark,649138,4-008,34.2861422580999,-118.876827514648,0,119597,36443,1,29.6,1,18
camarillo,610046,4-008,34.2229965651904,-119.032168060026,0,98039,68583,1,29.1,1,18
santa_rosa_valley,670130,4-008,34.2459072467724,-118.901795196206,0,150417,2721,0,1.8,1,18
somis,672632,4-008,34.2652675514162,-118.998417674213,0,101875,1189,0,26.3,1,18
san_buenaventura_(ventura),665042,4-004.03,34.2675306949799,-119.254295812697,0,79986,108467,1,36.9,0,19
oxnard,654652,4-004.03,34.2005417596339,-119.214264389803,0,77050,207722,1,75.1,1,19
saticoy,670322,4-004.03,34.2818329310049,-119.14526876738,0,70963,1739,0,94.5,1,19
mendota,646828,5-022.07,36.755533412256,-120.37761370134,1,36376,12173,1,96,1,20
fresno,627000,5-022.06,36.7830265926428,-119.793854519767,1,53368,526147,1,49.7,1,21
madera,645022,5-022.06,36.962992819861,-120.077841212227,1,49335,65575,1,78.3,1,21
chowchilla,613294,5-022.06,37.1095006264139,-120.234963550587,1,56683,18443,1,49.6,1,21
bonadelle_ranchos,607378,5-022.06,36.9688192283544,-119.892782482758,0,90795,5191,0,42,1,21
fairmead,623210,5-022.06,37.0774717990242,-120.193674183543,1,45801,1133,0,66.9,1,21
friant,627014,5-022.06,36.9847393902371,-119.712953803612,1,52955,541,0,32.9,1,21
la_vina,640872,5-022.06,36.8798700474527,-120.114815195915,1,NA,203,0,100,1,21
madera_acres,645050,5-022.06,37.0122930825595,-120.079916346218,0,88074,9990,0,73.7,0,21
madera_ranchos,645054,5-022.06,36.9279149777526,-119.877295720012,0,97833,3591,0,26.4,1,21
parksdale,655751,5-022.06,36.9464928242154,-120.021190394949,1,53690,2725,0,85.2,0,21
parkwood,655842,5-022.06,36.9292757916219,-120.04820307689,1,49158,2394,0,74.8,0,21
rolling_hills,662625,5-022.06,36.9039673635854,-119.796636657781,0,79138,706,0,18.8,0,21
fowler,625436,5-022.08,36.6243826843464,-119.673757491902,1,59663,6366,1,65.2,1,22
kingsburg,638562,5-022.08,36.5244572945441,-119.560217630901,0,73281,12116,1,47.7,1,22
parlier,655856,5-022.08,36.6086976247297,-119.543378795976,1,37434,15645,1,97.7,1,22
reedley,660242,5-022.08,36.5987728310579,-119.447054470593,1,45850,25710,1,79.3,1,22
sanger,667056,5-022.08,36.6989739126683,-119.557498530351,1,52349,26744,1,80.5,1,22
selma,670882,5-022.08,36.5715545546459,-119.614282054764,1,42059,24405,1,85,1,22
bowles,607750,5-022.08,36.6088789468117,-119.752576585833,1,NA,287,0,57.5,1,22
caruthers,611614,5-022.08,36.5399118645699,-119.845039755621,1,55357,2245,0,69.4,1,22
centerville,612412,5-022.08,36.7361217410889,-119.4960156751,0,85469,314,0,31.2,0,22
del_rey,618674,5-022.08,36.6564691428962,-119.598147398277,1,29766,1246,0,95.9,1,22
monmouth,648592,5-022.08,36.5656256776258,-119.740488036312,1,29583,113,0,88.5,1,22
dinuba,619318,5-022.08,36.5453297429361,-119.398711474628,1,46163,24455,1,86.9,1,23
orange_cove,654008,5-022.08,36.621150370559,-119.318761402718,1,25587,10120,1,95.3,0,23
