GSA_ID,GSA_Name
345,santa_clara_valley_water_district_groundwater_sustainability_agency_north_san_benito
56,san_miguel_community_services_district_groundwater_sustainability_agency
222,south_fork_kings_groundwater_sustainability_agency
109,south_tahoe_public_utility_district_groundwater_sustainability_agency
223,turner_island_water_district_groundwater_sustainability_agency_merced
275,western_municipal_water_district_groundwater_sustainability_agency_riverside_arlington
352,county_of_ventura_groundwater_sustainability_agency_oxnard_basin_outlying_areas
155,omochumne_hartnell_water_district_groundwater_sustainability_agency_cosumnes
57,city_of_newman_groundwater_sustainability_agency
59,new_stone_water_district_groundwater_sustainability_agency
62,grasslands_groundwater_sustainability_agency
66,city_of_patterson_groundwater_sustainability_agency
67,city_of_mendota_groundwater_sustainability_agency
93,zone_7_water_agency_groundwater_sustainability_agency_non_exclusive_portion
298,county_of_fresno_groundwater_sustainability_agency_delta_mendota_management_area_a
308,county_of_fresno_groundwater_sustainability_agency_delta_mendota_management_area_b
297,county_of_fresno_groundwater_sustainability_agency_westside
69,county_of_madera_groundwater_sustainability_agency_madera
409,vina_groundwater_sustainability_agency
274,county_of_san_luis_obispo_groundwater_sustainability_agency_los_osos_fringe_areas
471,camrosa_water_district_groundwater_sustainability_agency_pleasant_valley
467,colusa_groundwater_authority_groundwater_sustainability_agency_butte
438,county_of_imperial_groundwater_sustainability_agency_amos_valley
192,stanislaus_and_tuolumne_rivers_groundwater_basin_association_groundwater_sustainability_agency
193,amador_county_groundwater_management_authority_groundwater_sustainability_agency
196,olcese_water_district_groundwater_sustainability_agency
200,city_of_hayward_groundwater_sustainability_agency
201,central_delta_water_agency_groundwater_sustainability_agency
206,central_delta_mendota_groundwater_sustainability_agency
208,south_delta_water_agency_groundwater_sustainability_agency
209,west_placer_groundwater_sustainability_agency
212,spadra_basin_groundwater_sustainability_agency
218,county_of_sutter_groundwater_sustainability_agency_sutter
225,west_turlock_subbasin_groundwater_sustainability_agency
226,southwest_kings_groundwater_sustainability_agency
227,sierra_valley_groundwater_management_district_groundwater_sustainability_agency
228,oakdale_irrigation_district_groundwater_sustainability_agency
231,county_of_merced_groundwater_sustainability_agency_delta_mendota
232,county_of_modoc_groundwater_sustainability_agency_big_valley
236,county_of_modoc_groundwater_sustainability_agency_tulelake
237,widren_water_district_groundwater_sustainability_agency
238,east_turlock_subbasin_groundwater_sustainability_agency
239,reclamation_district_no_1500_groundwater_sustainability_agency
240,county_of_lassen_groundwater_sustainability_agency
244,white_wolf_groundwater_sustainability_agency
247,reclamation_district_no_1001_groundwater_sustainability_agency
248,upper_ventura_river_groundwater_agency_groundwater_sustainability_agency
249,south_san_joaquin_groundwater_sustainability_agency
433,fox_canyon_groundwater_management_agency_groundwater_sustainability_agency_oxnard
460,salinas_valley_basin_groundwater_sustainability_agency_east_side_aquifer
146,county_of_san_joaquin_groundwater_sustainability_agency_tracy
473,indio_water_authority_groundwater_sustainability_agency_desert_hot_springs
158,imperial_irrigation_district_groundwater_sustainability_agency_east_salton_sea
435,county_of_imperial_groundwater_sustainability_agency_east_salton_sea
124,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
479,san_francisco_public_utilities_commission_groundwater_sustainability_agency_visitacion_valle
195,reclamation_district_no_2106_groundwater_sustainability_agency
468,fillmore_and_piru_basins_groundwater_sustainability_agency_piru
168,desert_water_agency_groundwater_sustainability_agency_statutory_area_indio
451,desert_water_agency_groundwater_sustainability_agency_statutory_area_mission_creek
450,desert_water_agency_groundwater_sustainability_agency_statutory_area_san_gorgonio_pass
70,county_of_madera_groundwater_sustainability_agency_delta_mendota
379,reclamation_district_no_554_groundwater_sustainability_agency
476,san_francisco_public_utilities_commission_groundwater_sustainability_agency_westside
148,santa_clara_valley_water_district_groundwater_sustainability_agency_santa_clara
380,reclamation_district_no_2111_groundwater_sustainability_agency
331,santa_rosa_plain_groundwater_sustainability_agency
480,big_valley_groundwater_sustainability_agency
381,reclamation_district_no_317_groundwater_sustainability_agency
420,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
419,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
383,reclamation_district_no_556_groundwater_sustainability_agency
454,county_of_sutter_groundwater_sustainability_agency_north_american
138,reclamation_district_no_1004_groundwater_sustainability_agency_butte_2
119,butte_water_district_groundwater_sustainability_agency_sutter
427,imperial_irrigation_district_groundwater_sustainability_agency_imperial_valley
374,reclamation_district_no_3_groundwater_sustainability_agency
429,imperial_irrigation_district_groundwater_sustainability_agency_ocotillo_clark_valley
428,imperial_irrigation_district_groundwater_sustainability_agency_ogilby_valley
425,imperial_irrigation_district_groundwater_sustainability_agency_west_salton_sea
422,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
421,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
287,enterprise_anderson_groundwater_sustainability_agency_enterprise
464,enterprise_anderson_groundwater_sustainability_agency_anderson
439,county_of_imperial_groundwater_sustainability_agency_imperial_valley
445,county_of_imperial_groundwater_sustainability_agency_ocotillo_wells
426,imperial_irrigation_district_groundwater_sustainability_agency_amos_valley
414,county_of_glenn_groundwater_sustainability_agency_colusa
443,county_of_imperial_groundwater_sustainability_agency_coyote_wells_valley
434,fox_canyon_groundwater_management_agency_groundwater_sustainability_agency_arroyo_santa_rosa
444,county_of_imperial_groundwater_sustainability_agency_chuckwalla_valley
430,imperial_irrigation_district_groundwater_sustainability_agency_coyote_wells_valley
447,county_of_imperial_groundwater_sustainability_agency_arroyo_seco_valley
108,county_of_glenn_groundwater_sustainability_agency_corning
415,county_of_glenn_groundwater_sustainability_agency_butte
446,county_of_imperial_groundwater_sustainability_agency_davies_valley
441,county_of_imperial_groundwater_sustainability_agency_ocotillo_clark_valley
418,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
151,woodbridge_irrigation_district_groundwater_sustainability_agency
448,county_of_imperial_groundwater_sustainability_agency_palo_verde_mesa
442,county_of_imperial_groundwater_sustainability_agency_palo_verde_valley
50,marina_coast_water_district_groundwater_sustainability_agency_monterey
416,reclamation_district_no_1004_groundwater_sustainability_agency_butte_1
437,county_of_imperial_groundwater_sustainability_agency_vallecito_carrizo_valley
217,yolo_subbasin_groundwater_sustainability_agency
431,imperial_irrigation_district_groundwater_sustainability_agency_ocotillo_wells
456,siskiyou_county_flood_control_and_water_conservation_district_gs
110,reclamation_district_no_1004_groundwater_sustainability_agency_colusa
436,county_of_imperial_groundwater_sustainability_agency_west_salton_sea
164,county_of_imperial_groundwater_sustainability_agency_yuma_valley
184,marina_coast_water_district_groundwater_sustainability_agency_180/400_foot_aquifer
347,camrosa_water_district_groundwater_sustainability_agency_oxnard
475,san_francisco_public_utilities_commission_groundwater_sustainability_agency_islais_valley
478,san_francisco_public_utilities_commission_groundwater_sustainability_agency_south_san_franci
268,salinas_valley_basin_groundwater_sustainability_agency_langley_area
459,salinas_valley_basin_groundwater_sustainability_agency_upper_valley_aquifer
474,san_francisco_public_utilities_commission_groundwater_sustainability_agency_downtown
449,coachella_valley_water_district_groundwater_sustainability_agency_mission_creek
440,county_of_imperial_groundwater_sustainability_agency_ogilby_valley
94,san_francisco_public_utilities_commission_groundwater_sustainability_agency_lobos
477,san_francisco_public_utilities_commission_groundwater_sustainability_agency_marina
163,fox_canyon_groundwater_management_agency_groundwater_sustainability_agency_las_posas_valley
432,fox_canyon_groundwater_management_agency_groundwater_sustainability_agency_pleasant_valley
339,fillmore_and_piru_basins_groundwater_sustainability_agency_fillmore
424,santa_clara_valley_water_district_groundwater_sustainability_agency_llagas_area
457,siskiyou_county_flood_control_and_water_conservation_district_gs
253,siskiyou_county_flood_control_and_water_conservation_district_gs
423,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency
344,san_timoteo_subbasin_groundwater_sustainability_agency
147,sacramento_central_groundwater_authority_groundwater_sustainability_agency_1
488,county_of_napa_groundwater_sustainability_agency
394,triangle_t_water_district_groundwater_sustainability_agency
299,city_of_antioch_groundwater_sustainability_agency
265,discovery_bay_community_services_district_groundwater_sustainability_agency
493,county_of_humboldt_groundwater_sustainability_agency
259,county_of_contra_costa_groundwater_sustainability_agency
224,city_of_brentwood_groundwater_sustainability_agency
13,west_stanislaus_irrigation_district_groundwater_sustainability_agency
252,east_contra_costa_irrigation_district_groundwater_sustainability_agency
364,reclamation_district_no_2110_groundwater_sustainability_agency
234,county_of_plumas_groundwater_sustainability_agency
490,tri_county_water_authority_groundwater_sustainability_agency_tule
411,tri_county_water_authority_groundwater_sustainability_agency_tulare_lake
387,franklin_drainage_district_groundwater_sustainability_agency
312,city_of_galt_groundwater_sustainability_agency
156,omochumne_hartnell_water_district_groundwater_sustainability_agency_south_american
385,reclamation_district_no_349_groundwater_sustainability_agency
487,county_of_monterey_groundwater_sustainability_agency
220,turner_island_water_district_groundwater_sustainability_agency_delta_mendota
458,salinas_valley_basin_groundwater_sustainability_agency_monterey
461,salinas_valley_basin_groundwater_sustainability_agency_180/400_foot_aquifer
142,county_of_san_joaquin_groundwater_sustainability_agency_eastern_san_joaquin_1
389,county_of_san_joaquin_groundwater_sustainability_agency_eastern_san_joaquin_2
160,sloughhouse_resource_conservation_district_groundwater_sustainability_agency_cosumnes
295,county_of_sacramento_groundwater_sustainability_agency_south_american
261,arroyo_seco_groundwater_sustainability_agency_1
340,solano_subbasin_groundwater_sustainability_agency
337,santa_monica_basin_groundwater_sustainability_agency
97,galt_irrigation_district_groundwater_sustainability_agency
65,north_kings_groundwater_sustainability_agency
497,sacramento_county_groundwater_sustainability_agency_solano
496,sacramento_county_groundwater_sustainability_agency_cosumnes
317,south_kings_groundwater_sustainability_agency
211,central_kings_groundwater_sustainability_agency
327,cuyama_basin_groundwater_sustainability_agency
24,santa_cruz_mid_county_groundwater_agency_groundwater_sustainability_agency
491,carpinteria_groundwater_sustainability_agency
214,northwestern_delta_mendota_groundwater_sustainability_agency
463,byron_bethany_irrigation_district_groundwater_sustainability_agency_east_contra_costa
153,sloughhouse_resource_conservation_district_groundwater_sustainability_agency_south_american
462,salinas_valley_basin_groundwater_sustainability_agency_forebay_aquifer
319,shandon_san_juan_groundwater_sustainability_agency
470,county_of_tulare_groundwater_sustainability_agency_tule
273,santa_ynez_river_valley_basin_eastern_management_area_groundwater_sustainability_agency
336,county_of_san_luis_obispo_groundwater_sustainability_agency_san_luis_obispo_valley
