"lat","lng","place_name","place_type"
37.8758297109782,-122.076382734185,"Rossmoor","neighborhood"
33.8124209995827,-117.937063797996,"Hermosa Village","neighborhood"
33.6550624411628,-117.930050591271,"Westside Costa Mesa","neighborhood"
38.5859686611443,-121.484934424875,"Mansion Flats","neighborhood"
34.045661533619,-118.297001745524,"Pico Union","neighborhood"
34.0094998129829,-117.474512449358,"Glen Avon","neighborhood"
38.6394175694302,-121.39395244414,"Del Paso Park","neighborhood"
37.9470794253936,-122.353823898995,"Belding Woods","neighborhood"
33.1972846025178,-117.363263288918,"Loma Alta","neighborhood"
34.0350002481042,-118.303027478583,"West Adams","neighborhood"
39.7287051549238,-121.817154758124,"Chapmantown","neighborhood"
33.2180455856166,-117.328183539047,"Oceana","neighborhood"
33.948485317562,-118.314112163138,"Gramercy Park","neighborhood"
33.9660405116275,-118.289339770524,"South Figueroa Corridor","neighborhood"
34.0014202705849,-118.254308985018,"Central Alameda","neighborhood"
34.1527012967031,-119.170526979629,"Cypress Gardens","neighborhood"
36.7603058149371,-119.799350135584,"Tower District","neighborhood"
38.6580324754556,-121.368647131538,"Landmarks","neighborhood"
33.9979207963751,-118.267483254373,"South Park","neighborhood"
34.0086522918207,-118.290777220008,"Vermont Harbor","neighborhood"
38.8868793455671,-121.297875700143,"Downtown Lincoln","neighborhood"
33.9926056439561,-118.320098745255,"Park Mesa Heights","neighborhood"
36.7796873756833,-119.716675590643,"McLane","neighborhood"
33.9931731724314,-117.514627101774,"Mira Loma","neighborhood"
34.1042062688217,-117.344935014003,"Terrace","neighborhood"
37.9721760296145,-122.337816882607,"Fairmede - Hilltop","neighborhood"
33.9805683447012,-118.289320578565,"Vermont-Slauson","neighborhood"
33.9409317935453,-117.479405443499,"La Sierra Acres","neighborhood"
38.6143173666337,-121.471120718545,"Gardenland","neighborhood"
34.1493738227761,-117.299327274988,"Shandin Hills","neighborhood"
34.0768998889451,-117.291263575532,"Show Place","neighborhood"
38.7434603754795,-121.286871293673,"Cherry Glen","neighborhood"
33.9159334066099,-117.481874770912,"La Sierra","neighborhood"
33.9200625267971,-118.289296159565,"Harbor Gateway North","neighborhood"
38.7337431301876,-121.276400432468,"Cirby Side","neighborhood"
38.7488667718216,-121.273871666362,"Folsom Road","neighborhood"
38.2467559176558,-121.297579719555,"Southdale Terrace","neighborhood"
38.7343792537201,-121.298003887634,"Theiles Manor","neighborhood"
33.9351387089108,-117.45700231873,"Arlanza","neighborhood"
34.0321621935482,-118.406428181068,"Cheviot Hills","neighborhood"
33.7450967456688,-118.284149559571,"Central San Pedro","neighborhood"
38.7552504584385,-121.282958960405,"Sierra Vista","neighborhood"
33.7504468158075,-118.294284589154,"Northwest San Pedro","neighborhood"
36.7483671817662,-119.824356558314,"West Side","neighborhood"
37.8151775029814,-122.260954119607,"Oakland Ave - Harrison St","neighborhood"
37.8221957844417,-122.257005338408,"Piedmont Avenue","neighborhood"
34.0033430483539,-118.429046393215,"Mar Vista","neighborhood"
33.9974874812465,-118.474187658524,"Oakwood","neighborhood"
34.2276111843416,-118.250872648406,"Crescenta Highlands","neighborhood"
37.7926057444894,-122.239000697551,"Rancho San Antonio","neighborhood"
37.7829085718803,-122.225140877912,"Hawthorne","neighborhood"
38.5638723080378,-121.75519402899,"Covell Park","neighborhood"
38.5483120067114,-121.736547760744,"Old East Davis","neighborhood"
38.5493679878171,-121.730641948081,"Davis Manor","neighborhood"
32.7652618243986,-117.064554977838,"College East","neighborhood"
32.7173782720608,-117.079831710287,"Emerald Hills","neighborhood"
32.7002799018072,-117.078953168613,"Valencia Park","neighborhood"
34.2555510014568,-118.477804881997,"North Hills West","neighborhood"
34.1702866859843,-118.402719779409,"Valley Village","neighborhood"
34.0735239415613,-118.289657718716,"Rampart Village","neighborhood"
40.5650471809785,-122.366833333594,"Bechelli","neighborhood"
40.5504284334901,-122.364427653895,"Greens Way Terrace","neighborhood"
34.2314169506886,-118.595276225075,"Canoga Park","neighborhood"
32.6984315648219,-117.030004439924,"Bay Terraces","neighborhood"
34.1703571995725,-119.175258800135,"Blackstock North","neighborhood"
36.0717645532582,-119.077822390968,"West Porterville","neighborhood"
32.7223676150601,-117.059810478336,"Encanto","neighborhood"
34.1624150289362,-118.368074387016,"NoHo Arts District","neighborhood"
32.7004754019729,-117.020363415058,"Skyline","neighborhood"
32.7458952920555,-117.088289047064,"Chollas Creek","neighborhood"
32.7425233983641,-117.090708547507,"Islenair","neighborhood"
37.712598285906,-122.421072450684,"Sunnydale","neighborhood"
32.7581437165411,-117.083917243623,"Talmadge","neighborhood"
32.7662877325504,-117.081880774615,"El Cerrito","neighborhood"
32.57090316599,-117.04665983107,"Otay Mesa West","neighborhood"
32.7489880858972,-117.06721064141,"Redwood Village","neighborhood"
38.6064678521179,-121.350666971183,"Walnut Terrace","neighborhood"
38.6048324037049,-121.488233836923,"American River Parkway","neighborhood"
38.5766265795081,-121.332041849839,"Larchmont Riviera East","neighborhood"
38.6138541904859,-121.359893530867,"Hazelwood","neighborhood"
32.7912409633111,-117.172287558529,"Linda Vista","neighborhood"
34.406155995359,-118.477131033481,"Newhall","neighborhood"
32.8046995706281,-117.152951856985,"Birdland","neighborhood"
40.5824185629679,-122.345246764273,"Woodside Meadows","neighborhood"
34.3908859268975,-118.564963167915,"Valencia","neighborhood"
34.1030135969315,-118.187001768356,"Hermon","neighborhood"
34.1213315376422,-118.24238902575,"Glassell Park","neighborhood"
40.4276942835547,-122.243917084928,"Cascade","neighborhood"
40.5674241047207,-122.341078415234,"Country Club Subdivision","neighborhood"
40.6296591758647,-122.414940715114,"Buckeye","neighborhood"
40.5832924641593,-122.402803797107,"Magnolia","neighborhood"
40.6411212641775,-122.381726240645,"Oasis","neighborhood"
40.5721500861257,-122.405109295828,"Benton","neighborhood"
40.5787496433084,-122.382015175063,"Garden Tract","neighborhood"
40.5706045700396,-122.383464707675,"Parkview","neighborhood"
32.7869619866688,-117.106344453281,"Grantville","neighborhood"
40.5395553384881,-122.369170044609,"Moline Subdivision","neighborhood"
40.5744763148623,-122.396780427606,"Greenwood Heights Subdivision","neighborhood"
32.9042551273736,-117.121048615394,"Mira Mesa","neighborhood"
32.7253033724153,-117.161074588755,"Bankers Hill","neighborhood"
32.7525436062625,-117.111339419836,"Corridor","neighborhood"
32.6968662445016,-117.129002621782,"Memorial","neighborhood"
32.7523137101821,-117.101994522502,"Teralta West","neighborhood"
35.2853452767244,-120.658994507109,"Mill Street Historic District","neighborhood"
35.2786096842654,-120.666452299231,"Downtown Historic District","neighborhood"
35.2797630175725,-120.65608806171,"Old Town Historic District","neighborhood"
32.8054623079781,-117.020977929718,"Lake Murray","neighborhood"
33.1065661937326,-117.102982710956,"Felicita","neighborhood"
32.7548552916133,-117.087920336475,"Colina Del Sol","neighborhood"
34.0980576250395,-118.23042566407,"Cypress Park","neighborhood"
34.1512353305207,-118.228629952917,"Woodbury","neighborhood"
32.8362826318094,-117.19960924249,"North Clairemont","neighborhood"
33.1381886108272,-117.057284648149,"Midway","neighborhood"
38.9437071118975,-119.981702670355,"Al Tahoe","neighborhood"
34.1489252648984,-118.139197337672,"Playhouse Village","neighborhood"
34.1560347096286,-118.128996084811,"Catalina Villas","neighborhood"
33.8761397085795,-118.205773415525,"College Square","neighborhood"
33.8759052559585,-118.199799955215,"Freeway Circle","neighborhood"
32.719696686872,-117.089204449764,"Ridgeview/Webster","neighborhood"
38.4783820374886,-121.383485185896,"South Woods","neighborhood"
32.7522747862347,-117.096550288996,"Teralta East","neighborhood"
32.6882220609763,-117.105229897976,"Shelltown","neighborhood"
32.7094935412948,-117.14029650094,"Sherman Heights","neighborhood"
37.9287424154745,-122.365745734015,"Santa Fe","neighborhood"
32.7325677220786,-117.098801418566,"Swan Canyon","neighborhood"
34.1035822519596,-118.298364959347,"Los Feliz","neighborhood"
33.8139740284164,-118.188529995356,"Memorial Heights","neighborhood"
33.9961720405856,-117.411252204005,"Rubidoux","neighborhood"
32.5798210267663,-117.101220021581,"Egger Highlands","neighborhood"
33.8616287890064,-118.351054771504,"Northwest Torrance","neighborhood"
33.7615713203512,-118.083180397155,"Leisure World","neighborhood"
32.5784869558503,-117.079236428308,"Palm City","neighborhood"
34.1434887749723,-117.3113256234,"Muscupiabe","neighborhood"
34.2250938131567,-119.189172664458,"Sierra Linda","neighborhood"
38.575712019402,-121.300840339594,"Cordova Towne","neighborhood"
38.5611534295233,-121.374295099636,"Glenbrook East","neighborhood"
38.5444858901309,-121.353557208591,"Westporter","neighborhood"
33.8411734326984,-117.917685217401,"Downtown Anaheim","neighborhood"
37.8241122721335,-122.273102834745,"Hoover - Foster","neighborhood"
37.8252391622681,-122.280240106558,"Clawson","neighborhood"
37.8184335530499,-122.281680404039,"McClymonds","neighborhood"
37.7546033815364,-122.175813706575,"Webster","neighborhood"
37.7203414124482,-122.400785832555,"Portola","neighborhood"
37.7128248843931,-122.404948231513,"Visitacion Valley","neighborhood"
37.9905918238981,-121.308761018397,"Pacific","neighborhood"
34.1323673499576,-117.326854620049,"Shirrells","neighborhood"
34.0537175129801,-118.285987219522,"MacArthur Park","neighborhood"
33.7735295230164,-118.174173245585,"North Alamitos Beach","neighborhood"
34.0929850251395,-118.302559436338,"Little Armenia","neighborhood"
37.736951892025,-122.402224653107,"Silver Terrace","neighborhood"
33.7220187347996,-118.299031431055,"Coastal San Pedro","neighborhood"
34.1453720268795,-118.244711059926,"Citrus Grove","neighborhood"
33.8514460629611,-118.189082037985,"Addams","neighborhood"
37.7634132617103,-122.178037833584,"Arroyo Viejo","neighborhood"
38.6385402979166,-121.318717811234,"Lincoln Terrace","neighborhood"
37.6689496394756,-122.107736571282,"Hayward Acres","neighborhood"
37.7152136506126,-122.43672382848,"Excelsior","neighborhood"
34.1391817469961,-117.287416077723,"Wilson","neighborhood"
33.7771592104376,-118.199992148153,"Willmore","neighborhood"
37.7494592724083,-122.455424516638,"Forest Hill Extension","neighborhood"
34.063540595929,-118.305365141511,"Koreatown","neighborhood"
37.7329086766502,-122.477595827036,"Merced Manor","neighborhood"
37.7263851154019,-122.479827941133,"Stonestown","neighborhood"
37.7982063810862,-122.404241773291,"North Beach","neighborhood"
37.795680276685,-122.410147666988,"Nob Hill","neighborhood"
37.7149200596864,-122.389358920159,"Candlestick Point SRA","neighborhood"
37.8134176219699,-122.281963944693,"Ralph Bunche","neighborhood"
37.8033406847468,-122.285664247497,"Acorn","neighborhood"
37.7483222076023,-122.163780153091,"Cox","neighborhood"
37.9769400300953,-121.254718483685,"August","neighborhood"
34.0895917445953,-117.867867473803,"Charter Oak","neighborhood"
33.9926101040158,-118.084847409418,"El Rancho","neighborhood"
34.0805894654507,-118.283168397829,"Silver Lake","neighborhood"
35.3804090806872,-119.117029693849,"Greenacres","neighborhood"
34.1199691571862,-117.275717869893,"East Valley","neighborhood"
35.348587453715,-119.067289578935,"Kern City","neighborhood"
37.6494229263682,-122.088781026178,"Jackson Triangle","neighborhood"
37.6578873590589,-122.104809840028,"Longwood - Winton Grove","neighborhood"
33.8143169955275,-117.909309510524,"Anaheim Resort","neighborhood"
33.8258163108419,-117.906674377893,"Southeast Anaheim","neighborhood"
37.7848577524564,-122.204050497853,"Allendale","neighborhood"
37.7578379333411,-122.419008422584,"Mission District","neighborhood"
37.7832081708379,-122.418366155963,"Little Saigon","neighborhood"
37.7089010666692,-122.448980608475,"Crocker-Amazon","neighborhood"
37.7207232652802,-122.496406206246,"Lakeshore","neighborhood"
37.780087055584,-122.41537397208,"Civic Center","neighborhood"
37.7752715258303,-122.415494143873,"SoMa","neighborhood"
37.8189556763892,-122.368014745198,"Treasure Island","neighborhood"
37.7822824886116,-122.408143815512,"Mid-Market","neighborhood"
35.3771846675138,-119.028392615366,"Riviera/Westchester","neighborhood"
37.7529400782529,-122.398166906068,"Potrero Hill","neighborhood"
37.7883303414451,-122.419458707865,"Lower Nob Hill","neighborhood"
37.7805001271915,-122.432159352805,"Western Addition","neighborhood"
37.7804074390211,-122.425387193725,"Cathedral Hill","neighborhood"
37.7848222688725,-122.409426937673,"Union Square","neighborhood"
38.6887346911639,-121.339338209503,"Larchmont Foothills","neighborhood"
38.5995243715777,-121.387616125506,"Arden Glen","neighborhood"
41.766195877535,-124.208209009585,"Crescent City North","neighborhood"
38.7010624512607,-121.360204382624,"Kirkland Place","neighborhood"
38.6964714150122,-121.359380158612,"Pepperwood","neighborhood"
34.4380079066698,-119.70873052868,"Lower Riviera","neighborhood"
34.4255481390638,-119.704032732023,"Santa Barbara Downtown","neighborhood"
38.6487472627124,-121.351336970291,"College Oak Estates","neighborhood"
37.7852322286087,-122.218799179322,"Peralta Hacienda","neighborhood"
38.7143357458008,-121.298385734071,"Grand Oaks","neighborhood"
35.3507108224947,-118.986884171368,"Cottonwood","neighborhood"
38.6716284200701,-121.302939668676,"Pioneer Oaks","neighborhood"
38.7043155116767,-121.277076619298,"El Nido Heights","neighborhood"
38.6798523621979,-121.314844844023,"Greenback Estates","neighborhood"
36.7468599032602,-119.784322907892,"Jefferson","neighborhood"
37.4477569181463,-122.161797946755,"Downtown North","neighborhood"
38.694091317402,-121.317515146111,"Twin Creeks","neighborhood"
38.6746073361069,-121.321146373215,"Shadow Creek North","neighborhood"
35.3215657373355,-119.114015350001,"Tevis Ranch","neighborhood"
38.2437023391216,-121.307816566174,"The Vineyards","neighborhood"
34.4230795438287,-119.694053033439,"Laguna","neighborhood"
34.0875249180691,-117.302924779854,"Valley College","neighborhood"
37.6524537803661,-122.454852962903,"Serramonte","neighborhood"
38.5625500595849,-121.37434578459,"Glenbrook Garden Homes","neighborhood"
38.562589093279,-121.365871162431,"Larchmont Riviera","neighborhood"
34.1701205672854,-118.296310636219,"Grand Central","neighborhood"
34.163020625941,-118.302069996877,"Riverside Rancho","neighborhood"
34.1577771166663,-118.259671969253,"Fremont Park","neighborhood"
34.1476135739972,-117.313115412367,"Blair Park","neighborhood"
32.7342216461847,-117.174258523639,"Middletown","neighborhood"
32.8760765834401,-117.222231369683,"University City","neighborhood"
32.7426113009919,-117.149012167161,"Hillcrest","neighborhood"
