pattern,entity_type,match,notes
county_of_mono_gsa_fish_slough,GSA,exact,gaz:water_gsa_dictionary
county_of_mono_gsa_long_valley,GSA,exact,gaz:water_gsa_dictionary
county_of_mono_gsa_owens_valley,GSA,exact,gaz:water_gsa_dictionary
county_of_monterey,GSA,exact,gaz:water_gsa_dictionary
county_of_monterey_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_napa,GSA,exact,gaz:water_gsa_dictionary
county_of_napa_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_plumas,GSA,exact,gaz:water_gsa_dictionary
county_of_plumas_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_sacramento,GSA,exact,gaz:water_gsa_dictionary
county_of_sacramento_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_sacramento_gsa_south_american,GSA,exact,gaz:water_gsa_dictionary
county_of_san_joaquin,GSA,exact,gaz:water_gsa_dictionary
county_of_san_joaquin_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_san_joaquin_gsa_eastern_san_joaquin_1,GSA,exact,gaz:water_gsa_dictionary
county_of_san_joaquin_gsa_eastern_san_joaquin_2,GSA,exact,gaz:water_gsa_dictionary
county_of_san_joaquin_gsa_tracy,GSA,exact,gaz:water_gsa_dictionary
county_of_san_luis_obispo,GSA,exact,gaz:water_gsa_dictionary
county_of_san_luis_obispo_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_san_luis_obispo_gsa_los_osos_fringe_areas,GSA,exact,gaz:water_gsa_dictionary
county_of_san_luis_obispo_gsa_paso_robles_area,GSA,exact,gaz:water_gsa_dictionary
county_of_san_luis_obispo_gsa_san_luis_obispo_valley,GSA,exact,gaz:water_gsa_dictionary
county_of_san_luis_obispo_gsa_santa_maria_basin_fringe_areas,GSA,exact,gaz:water_gsa_dictionary
county_of_santa_cruz,GSA,exact,gaz:water_gsa_dictionary
county_of_santa_cruz_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_santa_cruz_gsa_purisima_highlands,GSA,exact,gaz:water_gsa_dictionary
county_of_santa_cruz_gsa_west_santa_cruz_terrace,GSA,exact,gaz:water_gsa_dictionary
county_of_siskiyou,GSA,exact,gaz:water_gsa_dictionary
county_of_siskiyou_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_sutter,GSA,exact,gaz:water_gsa_dictionary
county_of_sutter_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_sutter_gsa_north_american,GSA,exact,gaz:water_gsa_dictionary
county_of_sutter_gsa_sutter,GSA,exact,gaz:water_gsa_dictionary
county_of_tulare,GSA,exact,gaz:water_gsa_dictionary
county_of_tulare_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_tulare_gsa_tule,GSA,exact,gaz:water_gsa_dictionary
county_of_tuolumne,GSA,exact,gaz:water_gsa_dictionary
county_of_tuolumne_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_ventura,GSA,exact,gaz:water_gsa_dictionary
county_of_ventura_gsa,GSA,exact,gaz:water_gsa_dictionary
county_of_ventura_gsa_las_posas_valley_basin_outlying_areas,GSA,exact,gaz:water_gsa_dictionary
county_of_ventura_gsa_oxnard_basin_outlying_areas,GSA,exact,gaz:water_gsa_dictionary
county_of_ventura_gsa_pleasant_valley_basin_outlying_areas,GSA,exact,gaz:water_gsa_dictionary
county_of_ventura_gsa_santa_paula_basin_outlying_areas,GSA,exact,gaz:water_gsa_dictionary
coyote_creek_flood_bypass,Non_institutional,exact,gaz:water_infrastructure_dictionary
coyote_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
coyote_reservoir_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
coyote_valley_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
coyote_valley_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
cpuc,Institutional_other,exact,gaz:water_entity_dictionary
cra,Non_institutional,exact,gaz:water_infrastructure_dictionary
cross_valley_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
crystal_springs_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
ctc,Institutional_other,exact,gaz:water_entity_dictionary
cuyama_basin,GSA,exact,gaz:water_gsa_dictionary
cuyama_basin_gsa,GSA,exact,gaz:water_gsa_dictionary
cvmc,Institutional_other,exact,gaz:water_entity_dictionary
cvp_delta_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
cvpwa,NGO,exact,gaz:water_entity_dictionary
cvwd,Institutional_other,exact,gaz:water_entity_dictionary
cwa,NGO,exact,gaz:water_entity_dictionary
cwc,Institutional_other,exact,gaz:water_entity_dictionary
dcc,Non_institutional,exact,gaz:water_infrastructure_dictionary
deep_aquifer,Non_institutional,exact,gaz:water_bodies_dictionary
delano_earlimart_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
delano_earlimart_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
delta_conservancy,Institutional_other,exact,gaz:water_entity_dictionary
delta_cross_channel,Non_institutional,exact,gaz:water_infrastructure_dictionary
delta_mendota_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
delta_mendota_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
delta_stewardship_council,Institutional_other,exact,gaz:water_entity_dictionary
delta_watermaster,Institutional_other,exact,gaz:water_entity_dictionary
department_of_conservation,Institutional_other,exact,gaz:water_entity_dictionary
department_of_fish_and_game,Institutional_other,exact,gaz:water_entity_dictionary
department_of_fish_and_wildlife,Institutional_other,exact,gaz:water_entity_dictionary
department_of_food_and_agriculture,Institutional_other,exact,gaz:water_entity_dictionary
department_of_public_health,Institutional_other,exact,gaz:water_entity_dictionary
department_of_the_interior,Institutional_other,exact,gaz:water_entity_dictionary
department_of_toxic_substances_control,Institutional_other,exact,gaz:water_entity_dictionary
department_of_water_resources,Institutional_other,exact,gaz:water_entity_dictionary
desert_water_agency,GSA,exact,gaz:water_gsa_dictionary
desert_water_agency_gsa,GSA,exact,gaz:water_gsa_dictionary
desert_water_agency_gsa_non_statutory_area_indio,GSA,exact,gaz:water_gsa_dictionary
desert_water_agency_gsa_non_statutory_area_mission_creek,GSA,exact,gaz:water_gsa_dictionary
desert_water_agency_gsa_statutory_area_indio,GSA,exact,gaz:water_gsa_dictionary
desert_water_agency_gsa_statutory_area_mission_creek,GSA,exact,gaz:water_gsa_dictionary
desert_water_agency_gsa_statutory_area_san_gorgonio_pass,GSA,exact,gaz:water_gsa_dictionary
devil_canyon_powerplant,Non_institutional,exact,gaz:water_infrastructure_dictionary
devil_s_den_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
devil_s_gate_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
devils_gate_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
diablo_water_district,GSA,exact,gaz:water_gsa_dictionary
diablo_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
diamond_valley_lake,Non_institutional,exact,gaz:water_bodies_dictionary
diamond_valley_lake_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
discovery_bay_community_services_district,GSA,exact,gaz:water_gsa_dictionary
discovery_bay_community_services_district_gsa,GSA,exact,gaz:water_gsa_dictionary
division_of_safety_of_dams,Institutional_other,exact,gaz:water_entity_dictionary
dm_ii,GSA,exact,gaz:water_gsa_dictionary
dm_ii_gsa,GSA,exact,gaz:water_gsa_dictionary
dmc,Non_institutional,exact,gaz:water_infrastructure_dictionary
doc,Institutional_other,exact,gaz:water_entity_dictionary
doheny_ocean_desalination_project,Non_institutional,exact,gaz:water_infrastructure_dictionary
doi,Institutional_other,exact,gaz:water_entity_dictionary
don_pedro_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
don_pedro_reservoir_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
donald_c_tillman_water_reclamation_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
donnells_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
donnells_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
dos_amigos_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
dry_creek,Non_institutional,exact,gaz:water_bodies_dictionary
dry_creek_rancheria_band_of_pomo_indians,Institutional_other,exact,gaz:water_entity_dictionary
dsc,Institutional_other,exact,gaz:water_entity_dictionary
dsod,Institutional_other,exact,gaz:water_entity_dictionary
dsrsd,Non_institutional,exact,gaz:water_infrastructure_dictionary
dtsc,Institutional_other,exact,gaz:water_entity_dictionary
dublin_san_ramon_services_district,Non_institutional,exact,gaz:water_infrastructure_dictionary
ducks_unlimited,NGO,exact,gaz:water_entity_dictionary
dwa,Institutional_other,exact,gaz:water_entity_dictionary
dwr,Institutional_other,exact,gaz:water_entity_dictionary
eagle_lake,Non_institutional,exact,gaz:water_bodies_dictionary
east_acton,GSA,exact,gaz:water_gsa_dictionary
east_acton_gsa,GSA,exact,gaz:water_gsa_dictionary
east_bay_dischargers_authority,Non_institutional,exact,gaz:water_infrastructure_dictionary
east_bay_municipal_utility_district,GSA,exact,gaz:water_gsa_dictionary
east_bay_municipal_utility_district_gsa,GSA,exact,gaz:water_gsa_dictionary
east_branch_california_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
east_branch_extension,Non_institutional,exact,gaz:water_infrastructure_dictionary
east_branch_swp,Non_institutional,exact,gaz:water_infrastructure_dictionary
east_contra_costa_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
east_contra_costa_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
east_fork_san_gabriel_river,Non_institutional,exact,gaz:water_bodies_dictionary
east_kaweah,GSA,exact,gaz:water_gsa_dictionary
east_kaweah_gsa,GSA,exact,gaz:water_gsa_dictionary
east_park_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
east_side_bypass,Non_institutional,exact,gaz:water_infrastructure_dictionary
east_turlock_subbasin,GSA,exact,gaz:water_gsa_dictionary
east_turlock_subbasin_gsa,GSA,exact,gaz:water_gsa_dictionary
eastern_municipal_water_district_area,Non_institutional,exact,gaz:water_bodies_dictionary
eastern_tule,GSA,exact,gaz:water_gsa_dictionary
eastern_tule_gsa,GSA,exact,gaz:water_gsa_dictionary
eastside_bypass,Non_institutional,exact,gaz:water_infrastructure_dictionary
eastside_reservoir_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
eastside_san_joaquin,GSA,exact,gaz:water_gsa_dictionary
eastside_san_joaquin_gsa,GSA,exact,gaz:water_gsa_dictionary
eastside_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
ebda,Non_institutional,exact,gaz:water_infrastructure_dictionary
ebmud,Institutional_other,exact,gaz:water_entity_dictionary
edf,NGO,exact,gaz:water_entity_dictionary
edmonston_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
edward_c_little_water_recycling_facility,Non_institutional,exact,gaz:water_infrastructure_dictionary
edward_c_little_wrf,Non_institutional,exact,gaz:water_infrastructure_dictionary
eel_river,Non_institutional,exact,gaz:water_bodies_dictionary
eid,Institutional_other,exact,gaz:water_entity_dictionary
el_capitan_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
el_capitan_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
el_dorado_county_water_agency,GSA,exact,gaz:water_gsa_dictionary
el_dorado_county_water_agency_gsa,GSA,exact,gaz:water_gsa_dictionary
el_dorado_irrigation_district,Institutional_other,exact,gaz:water_entity_dictionary
el_rico,GSA,exact,gaz:water_gsa_dictionary
el_rico_gsa,GSA,exact,gaz:water_gsa_dictionary
elkhorn_slough,Non_institutional,exact,gaz:water_bodies_dictionary
elsinore_valley,GSA,exact,gaz:water_gsa_dictionary
elsinore_valley_gsa,GSA,exact,gaz:water_gsa_dictionary
energy_commission,Institutional_other,exact,gaz:water_entity_dictionary
englebright_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
englebright_lake,Non_institutional,exact,gaz:water_bodies_dictionary
englebright_lake_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
englebright_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
enterprise_anderson,GSA,exact,gaz:water_gsa_dictionary
enterprise_anderson_gsa,GSA,exact,gaz:water_gsa_dictionary
enterprise_anderson_gsa_anderson,GSA,exact,gaz:water_gsa_dictionary
enterprise_anderson_gsa_enterprise,GSA,exact,gaz:water_gsa_dictionary
enterprise_rancheria_of_maidu_indians,Institutional_other,exact,gaz:water_entity_dictionary
environmental_defense_fund,NGO,exact,gaz:water_entity_dictionary
environmental_protection_agency,Institutional_other,exact,gaz:water_entity_dictionary
environmental_protection_agency_office_of_water,Institutional_other,exact,gaz:water_entity_dictionary
epa_region_9,Institutional_other,exact,gaz:water_entity_dictionary
estrella_el_pomar_creston_water_district,GSA,exact,gaz:water_gsa_dictionary
estrella_el_pomar_creston_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
f_e_weymouth_water_treatment_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
farm_bureau,NGO,exact,gaz:water_entity_dictionary
farm_service_agency,Institutional_other,exact,gaz:water_entity_dictionary
farmers_water_district,GSA,exact,gaz:water_gsa_dictionary
farmers_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
feather_river,Non_institutional,exact,gaz:water_bodies_dictionary
federal_emergency_management_agency,Institutional_other,exact,gaz:water_entity_dictionary
federated_indians_of_graton_rancheria,Institutional_other,exact,gaz:water_entity_dictionary
fema,Institutional_other,exact,gaz:water_entity_dictionary
fillmore_and_piru_basins,GSA,exact,gaz:water_gsa_dictionary
fillmore_and_piru_basins_gsa,GSA,exact,gaz:water_gsa_dictionary
fillmore_and_piru_basins_gsa_fillmore,GSA,exact,gaz:water_gsa_dictionary
fillmore_and_piru_basins_gsa_piru,GSA,exact,gaz:water_gsa_dictionary
first_los_angeles_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
fish_and_wildlife_service,Institutional_other,exact,gaz:water_entity_dictionary
fkc,Non_institutional,exact,gaz:water_infrastructure_dictionary
folsom_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
folsom_dam_modification_project,Non_institutional,exact,gaz:water_infrastructure_dictionary
folsom_lake,Non_institutional,exact,gaz:water_bodies_dictionary
folsom_lake_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
folsom_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
folsom_south_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
forest_service,Institutional_other,exact,gaz:water_entity_dictionary
fort_independence_indian_community,Institutional_other,exact,gaz:water_entity_dictionary
fort_yuma_quechan_tribe,Institutional_other,exact,gaz:water_entity_dictionary
fox_canyon_groundwater_management_agency,GSA,exact,gaz:water_gsa_dictionary
fox_canyon_groundwater_management_agency_gsa,GSA,exact,gaz:water_gsa_dictionary
fox_canyon_groundwater_management_agency_gsa_arroyo_santa_rosa,GSA,exact,gaz:water_gsa_dictionary
fox_canyon_groundwater_management_agency_gsa_las_posas_valley,GSA,exact,gaz:water_gsa_dictionary
fox_canyon_groundwater_management_agency_gsa_oxnard,GSA,exact,gaz:water_gsa_dictionary
fox_canyon_groundwater_management_agency_gsa_pleasant_valley,GSA,exact,gaz:water_gsa_dictionary
franklin_drainage_district,GSA,exact,gaz:water_gsa_dictionary
franklin_drainage_district_gsa,GSA,exact,gaz:water_gsa_dictionary
freeport_regional_water_authority,Non_institutional,exact,gaz:water_infrastructure_dictionary
fremont_weir,Non_institutional,exact,gaz:water_infrastructure_dictionary
fresno_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
fresno_metropolitan_flood_control_district,Institutional_other,exact,gaz:water_entity_dictionary
fresno_mfcd,Institutional_other,exact,gaz:water_entity_dictionary
fresno_river,Non_institutional,exact,gaz:water_bodies_dictionary
fresno_slough,Non_institutional,exact,gaz:water_infrastructure_dictionary
fresno_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
friant_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
friant_kern_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
friant_water_authority,Institutional_other,exact,gaz:water_entity_dictionary
frwa,Non_institutional,exact,gaz:water_infrastructure_dictionary
fsa,Institutional_other,exact,gaz:water_entity_dictionary
fwa,Institutional_other,exact,gaz:water_entity_dictionary
galt_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
galt_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
garcia_river,Non_institutional,exact,gaz:water_bodies_dictionary
gcid,Institutional_other,exact,gaz:water_entity_dictionary
gianelli_pumping_generating_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
gibraltar_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
gibraltar_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
glac_irwm,Non_institutional,exact,gaz:water_entity_dictionary
glenn_colusa_irrigation_district,Institutional_other,exact,gaz:water_entity_dictionary
glenn_groundwater_authority,GSA,exact,gaz:water_gsa_dictionary
glenn_groundwater_authority_gsa,GSA,exact,gaz:water_gsa_dictionary
goodwin_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
goodwin_diversion_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
governor_s_office_of_planning_and_research,Institutional_other,exact,gaz:water_entity_dictionary
grasslands,GSA,exact,gaz:water_gsa_dictionary
grasslands_gsa,GSA,exact,gaz:water_gsa_dictionary
gravelly_ford_water_district,GSA,exact,gaz:water_gsa_dictionary
gravelly_ford_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
greater_kaweah,GSA,exact,gaz:water_gsa_dictionary
greater_kaweah_gsa,GSA,exact,gaz:water_gsa_dictionary
greater_los_angeles_county_integrated_regional_water_management,Non_institutional,exact,gaz:water_entity_dictionary
greater_los_angeles_county_irwm,Non_institutional,exact,gaz:water_entity_dictionary
greenfield_county_water_district,GSA,exact,gaz:water_gsa_dictionary
greenfield_county_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
grizzly_bay,Non_institutional,exact,gaz:water_bodies_dictionary
grizzly_valley_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
guadalupe_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
guadalupe_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
gualala_river,Non_institutional,exact,gaz:water_bodies_dictionary
gwrs,Non_institutional,exact,gaz:water_infrastructure_dictionary
h_v_eastman_lake,Non_institutional,exact,gaz:water_infrastructure_dictionary
hansen_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
harvey_o_banks_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
hbmwd,Institutional_other,exact,gaz:water_entity_dictionary
hcd,Institutional_other,exact,gaz:water_entity_dictionary
heal_the_bay,NGO,exact,gaz:water_entity_dictionary
henry_miller_water_district,GSA,exact,gaz:water_gsa_dictionary
henry_miller_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
henshaw_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
hensley_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
hensley_lake,Non_institutional,exact,gaz:water_infrastructure_dictionary
heritage_ranch_community_services_district,GSA,exact,gaz:water_gsa_dictionary
hetch_hetchy_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
hetch_hetchy_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
hetch_hetchy_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
