pattern,entity_type,match,notes
indian_wells_valley_groundwater_authority,GSA,exact,gaz:water_gsa_dictionary
indian_wells_valley_groundwater_authority_gsa,GSA,exact,gaz:water_gsa_dictionary
indio_water_authority,GSA,exact,gaz:water_gsa_dictionary
indio_water_authority_gsa,GSA,exact,gaz:water_gsa_dictionary
indio_water_authority_gsa_desert_hot_springs,GSA,exact,gaz:water_gsa_dictionary
indio_water_authority_gsa_indio,GSA,exact,gaz:water_gsa_dictionary
infrastructure_and_economic_development_bank,Institutional_other,exact,gaz:water_entity_dictionary
inland_empire_utilities_agency,Institutional_other,exact,gaz:water_entity_dictionary
integrated_regional_water_management,Non_institutional,exact,gaz:water_entity_dictionary
integrated_regional_water_management_plan,Non_institutional,exact,gaz:water_entity_dictionary
integrated_regional_water_management_program,Non_institutional,exact,gaz:water_entity_dictionary
ione_band_of_miwok_indians,Institutional_other,exact,gaz:water_entity_dictionary
irwm,Non_institutional,exact,gaz:water_entity_dictionary
irwm_plan,Non_institutional,exact,gaz:water_entity_dictionary
irwmp,Non_institutional,exact,gaz:water_entity_dictionary
isabella_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
isabella_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
jackson_meadows_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
jackson_meadows_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
james,GSA,exact,gaz:water_gsa_dictionary
james_bypass,Non_institutional,exact,gaz:water_infrastructure_dictionary
james_bypass_recharge,Non_institutional,exact,gaz:water_infrastructure_dictionary
james_gsa,GSA,exact,gaz:water_gsa_dictionary
joint_water_pollution_control_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
jwpcp,Non_institutional,exact,gaz:water_infrastructure_dictionary
karuk_indian_tribe,Institutional_other,exact,gaz:water_entity_dictionary
karuk_tribe,Institutional_other,exact,gaz:water_entity_dictionary
kaweah_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
kaweah_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
kaweah_river,Non_institutional,exact,gaz:water_bodies_dictionary
kaweah_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
kcwa,Institutional_other,exact,gaz:water_entity_dictionary
kern_county_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
kern_county_water_agency,Institutional_other,exact,gaz:water_entity_dictionary
kern_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
kern_non_districted_land_authority,GSA,exact,gaz:water_gsa_dictionary
kern_non_districted_land_authority_gsa,GSA,exact,gaz:water_gsa_dictionary
kern_river,GSA,exact,gaz:water_gsa_dictionary
kern_river_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
kern_river_gsa,GSA,exact,gaz:water_gsa_dictionary
kern_tulare_water_district,GSA,exact,gaz:water_gsa_dictionary
kern_tulare_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
kern_water_bank,GSA,exact,gaz:water_gsa_dictionary
kern_water_bank_authority,Non_institutional,exact,gaz:water_infrastructure_dictionary
kern_water_bank_gsa,GSA,exact,gaz:water_gsa_dictionary
keswick_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
kings_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
kings_river,Non_institutional,exact,gaz:water_bodies_dictionary
kings_river_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
kings_river_conservation_district,Institutional_other,exact,gaz:water_entity_dictionary
kings_river_east,GSA,exact,gaz:water_gsa_dictionary
kings_river_east_gsa,GSA,exact,gaz:water_gsa_dictionary
kings_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
klamath_river,Non_institutional,exact,gaz:water_bodies_dictionary
klamath_tribes,Institutional_other,exact,gaz:water_entity_dictionary
knights_landing_outfall_gates,Non_institutional,exact,gaz:water_infrastructure_dictionary
knights_landing_weir,Non_institutional,exact,gaz:water_infrastructure_dictionary
krcd,Institutional_other,exact,gaz:water_entity_dictionary
kumeyaay_nation,Institutional_other,exact,gaz:water_entity_dictionary
kumeyaay_people,Institutional_other,exact,gaz:water_entity_dictionary
kwb,Non_institutional,exact,gaz:water_infrastructure_dictionary
kwba,Non_institutional,exact,gaz:water_infrastructure_dictionary
la_county_dpw,Institutional_other,exact,gaz:water_entity_dictionary
la_dwp,Institutional_other,exact,gaz:water_entity_dictionary
laa,Non_institutional,exact,gaz:water_infrastructure_dictionary
lacdpw,Institutional_other,exact,gaz:water_entity_dictionary
lacfcd,Institutional_other,exact,gaz:water_entity_dictionary
ladwp,Institutional_other,exact,gaz:water_entity_dictionary
lahontan_regional_board,Institutional_other,exact,gaz:water_entity_dictionary
lahontan_regional_water_quality_control_board,Institutional_other,exact,gaz:water_entity_dictionary
lake_almanor,Non_institutional,exact,gaz:water_bodies_dictionary
lake_almanor_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_berryessa,Non_institutional,exact,gaz:water_bodies_dictionary
lake_berryessa_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_cachuma,Non_institutional,exact,gaz:water_bodies_dictionary
lake_cachuma_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_castaic,Non_institutional,exact,gaz:water_bodies_dictionary
lake_combie,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_davis,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_don_pedro,Non_institutional,exact,gaz:water_bodies_dictionary
lake_earl,Non_institutional,exact,gaz:water_bodies_dictionary
lake_eleanor_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_havasu,Non_institutional,exact,gaz:water_bodies_dictionary
lake_henshaw,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_hodges,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_isabella,Non_institutional,exact,gaz:water_bodies_dictionary
lake_isabella_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_kaweah,Non_institutional,exact,gaz:water_bodies_dictionary
lake_kaweah_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_mcclure,Non_institutional,exact,gaz:water_bodies_dictionary
lake_mcclure_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_mcswain,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_mendocino,Non_institutional,exact,gaz:water_bodies_dictionary
lake_mendocino_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_oroville,Non_institutional,exact,gaz:water_bodies_dictionary
lake_oroville_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_perris,Non_institutional,exact,gaz:water_bodies_dictionary
lake_perris_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_pillsbury,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_shasta,Non_institutional,exact,gaz:water_bodies_dictionary
lake_sonoma,Non_institutional,exact,gaz:water_bodies_dictionary
lake_sonoma_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_spaulding,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_success,Non_institutional,exact,gaz:water_bodies_dictionary
lake_success_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lake_tahoe,Non_institutional,exact,gaz:water_bodies_dictionary
lake_wildwood_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
las_perillas_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
leona_valley,GSA,exact,gaz:water_gsa_dictionary
leona_valley_gsa,GSA,exact,gaz:water_gsa_dictionary
lexington_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lexington_reservoir_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
linden_county_water_district,GSA,exact,gaz:water_gsa_dictionary
linden_county_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
livermore_valley_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
loch_lomond_reservoir_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lockeford_community_service_district,GSA,exact,gaz:water_gsa_dictionary
lockeford_community_service_district_gsa,GSA,exact,gaz:water_gsa_dictionary
lopez_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lopez_lake,Non_institutional,exact,gaz:water_infrastructure_dictionary
los_angeles,GSA,exact,gaz:water_gsa_dictionary
los_angeles_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
los_angeles_basin,Non_institutional,exact,gaz:water_bodies_dictionary
los_angeles_coastal_plain_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
los_angeles_county_department_of_public_works,Institutional_other,exact,gaz:water_entity_dictionary
los_angeles_county_flood_control_district,Institutional_other,exact,gaz:water_entity_dictionary
los_angeles_department_of_water_and_power,Institutional_other,exact,gaz:water_entity_dictionary
los_angeles_gsa,GSA,exact,gaz:water_gsa_dictionary
los_angeles_regional_board,Institutional_other,exact,gaz:water_entity_dictionary
los_angeles_regional_water_quality_control_board,Institutional_other,exact,gaz:water_entity_dictionary
los_angeles_river,Non_institutional,exact,gaz:water_bodies_dictionary
los_angeles_river_revitalization,Non_institutional,exact,gaz:water_infrastructure_dictionary
los_coyotes_water_reclamation_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
los_vaqueros_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
los_vaqueros_reservoir_expansion,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_bear_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_bear_river_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_colorado_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_crystal_springs_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_feather_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_klamath_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_los_angeles_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_merced_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_newport_bay,Non_institutional,exact,gaz:water_bodies_dictionary
lower_otay_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_otay_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_owens_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_pit_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_putah_creek,Non_institutional,exact,gaz:water_bodies_dictionary
lower_russian_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_sacramento_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_salinas_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_san_joaquin_floodway,Non_institutional,exact,gaz:water_infrastructure_dictionary
lower_san_joaquin_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_santa_ana_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_santa_clara_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_trinity_river,Non_institutional,exact,gaz:water_bodies_dictionary
lower_tule_river_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
lower_tule_river_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
lower_tuolumne_river,Non_institutional,exact,gaz:water_bodies_dictionary
mad_river,Non_institutional,exact,gaz:water_bodies_dictionary
madera_canal,Non_institutional,exact,gaz:water_infrastructure_dictionary
madera_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
madera_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
madera_ranch_groundwater_bank,Non_institutional,exact,gaz:water_infrastructure_dictionary
madera_ranch_water_bank,Non_institutional,exact,gaz:water_infrastructure_dictionary
madera_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
madera_water_district,GSA,exact,gaz:water_gsa_dictionary
madera_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
marin_municipal_water_district,Institutional_other,exact,gaz:water_entity_dictionary
marina_coast_water_district,GSA,exact,gaz:water_gsa_dictionary
marina_coast_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
marina_coast_water_district_gsa_180_400_foot_aquifer,GSA,exact,gaz:water_gsa_dictionary
marina_coast_water_district_gsa_monterey,GSA,exact,gaz:water_gsa_dictionary
mariposa_bypass,Non_institutional,exact,gaz:water_infrastructure_dictionary
marysville_ring_levee,Non_institutional,exact,gaz:water_infrastructure_dictionary
mattole_river,Non_institutional,exact,gaz:water_bodies_dictionary
mccloud_river,Non_institutional,exact,gaz:water_bodies_dictionary
mcclure_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
mcmullin_area,GSA,exact,gaz:water_gsa_dictionary
mcmullin_area_gsa,GSA,exact,gaz:water_gsa_dictionary
mcswain_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
mcwra,Institutional_other,exact,gaz:water_entity_dictionary
mechoopda_indian_tribe,Institutional_other,exact,gaz:water_entity_dictionary
mendota_pool,Non_institutional,exact,gaz:water_infrastructure_dictionary
merced_irrigation_district,Institutional_other,exact,gaz:water_entity_dictionary
merced_irrigation_urban,GSA,exact,gaz:water_gsa_dictionary
merced_irrigation_urban_gsa,GSA,exact,gaz:water_gsa_dictionary
merced_river,Non_institutional,exact,gaz:water_bodies_dictionary
merced_subbasin,GSA,exact,gaz:water_gsa_dictionary
merced_subbasin_gsa,GSA,exact,gaz:water_gsa_dictionary
met,Institutional_other,exact,gaz:water_entity_dictionary
metropolitan_water_district,Institutional_other,exact,gaz:water_entity_dictionary
metropolitan_water_district_of_southern_california,Institutional_other,exact,gaz:water_entity_dictionary
metropolitan_water_district_skinner_treatment_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
metropolitan_water_district_weymouth_treatment_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
michelson_water_recycling_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
michelson_wrp,Non_institutional,exact,gaz:water_infrastructure_dictionary
mid,Institutional_other,exact,gaz:water_entity_dictionary
mid_kaweah,GSA,exact,gaz:water_gsa_dictionary
mid_kaweah_gsa,GSA,exact,gaz:water_gsa_dictionary
mid_kings_river,GSA,exact,gaz:water_gsa_dictionary
mid_kings_river_gsa,GSA,exact,gaz:water_gsa_dictionary
mid_pacific_region,Institutional_other,exact,gaz:water_entity_dictionary
middle_fork_american_river,Non_institutional,exact,gaz:water_bodies_dictionary
middle_fork_eel_river,Non_institutional,exact,gaz:water_bodies_dictionary
middle_fork_kaweah_river,Non_institutional,exact,gaz:water_bodies_dictionary
middle_fork_kings_river,Non_institutional,exact,gaz:water_bodies_dictionary
middle_fork_yuba_river,Non_institutional,exact,gaz:water_bodies_dictionary
middle_river,Non_institutional,exact,gaz:water_infrastructure_dictionary
millerton_lake,Non_institutional,exact,gaz:water_bodies_dictionary
millerton_lake_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
millerton_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
mission_bay,Non_institutional,exact,gaz:water_bodies_dictionary
mission_springs_water_district,GSA,exact,gaz:water_gsa_dictionary
mission_springs_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
mission_springs_water_district_gsa_indio,GSA,exact,gaz:water_gsa_dictionary
mission_springs_water_district_gsa_mission_creek,GSA,exact,gaz:water_gsa_dictionary
miwok_tribe,Institutional_other,exact,gaz:water_entity_dictionary
mmwd,Institutional_other,exact,gaz:water_entity_dictionary
moccasin_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
moccasin_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
modesto_irrigation_district,Institutional_other,exact,gaz:water_entity_dictionary
modesto_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
mojave_basin_area,Non_institutional,exact,gaz:water_bodies_dictionary
mojave_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
mojave_river,Non_institutional,exact,gaz:water_bodies_dictionary
mojave_siphon_power_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
mojave_water_agency,Institutional_other,exact,gaz:water_entity_dictionary
mokelumne_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
mokelumne_aqueduct_water_treatment_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
mokelumne_river,Non_institutional,exact,gaz:water_bodies_dictionary
mono_county_tri_valley_groundwater_management_district,GSA,exact,gaz:water_gsa_dictionary
mono_county_tri_valley_groundwater_management_district_gsa,GSA,exact,gaz:water_gsa_dictionary
mono_county_tri_valley_groundwater_management_district_gsa_fis,GSA,exact,gaz:water_gsa_dictionary
mono_county_tri_valley_groundwater_management_district_gsa_owe,GSA,exact,gaz:water_gsa_dictionary
mono_lake,Non_institutional,exact,gaz:water_bodies_dictionary
mono_tribe,Institutional_other,exact,gaz:water_entity_dictionary
montecito_groundwater_basin,GSA,exact,gaz:water_gsa_dictionary
montecito_groundwater_basin_gsa,GSA,exact,gaz:water_gsa_dictionary
monterey_bay,Non_institutional,exact,gaz:water_bodies_dictionary
monterey_bay_desalination_project,Non_institutional,exact,gaz:water_infrastructure_dictionary
monterey_county_water_resources_agency,Institutional_other,exact,gaz:water_entity_dictionary
monterey_peninsula_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
monterey_peninsula_water_management_district,GSA,exact,gaz:water_gsa_dictionary
monterey_peninsula_water_management_district_gsa,GSA,exact,gaz:water_gsa_dictionary
monticello_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
mooretown_rancheria_of_maidu_indians,Institutional_other,exact,gaz:water_entity_dictionary
morongo_band_of_mission_indians,Institutional_other,exact,gaz:water_entity_dictionary
morris_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
morris_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
morro_bay,Non_institutional,exact,gaz:water_bodies_dictionary
moulton_weir,Non_institutional,exact,gaz:water_infrastructure_dictionary
mound_basin,GSA,exact,gaz:water_gsa_dictionary
mound_basin_gsa,GSA,exact,gaz:water_gsa_dictionary
mpwmd,Institutional_other,exact,gaz:water_entity_dictionary
municipal_water_district_of_orange_county,Institutional_other,exact,gaz:water_entity_dictionary
murrieta_creek,Non_institutional,exact,gaz:water_bodies_dictionary
mwa,Institutional_other,exact,gaz:water_entity_dictionary
mwd,Institutional_other,exact,gaz:water_entity_dictionary
mwdoc,Institutional_other,exact,gaz:water_entity_dictionary
nacimiento_river,Non_institutional,exact,gaz:water_bodies_dictionary
napa_county_flood_control_and_water_conservation_district,Institutional_other,exact,gaz:water_entity_dictionary
napa_county_resource_conservation_district,NGO,exact,gaz:water_entity_dictionary
napa_rcd,NGO,exact,gaz:water_entity_dictionary
national_audubon_society,NGO,exact,gaz:water_entity_dictionary
national_marine_fisheries_service,Institutional_other,exact,gaz:water_entity_dictionary
national_park_service,Institutional_other,exact,gaz:water_entity_dictionary
natomas_levee_improvement_program,Non_institutional,exact,gaz:water_infrastructure_dictionary
natural_resources_agency,Institutional_other,exact,gaz:water_entity_dictionary
natural_resources_conservation_service,Institutional_other,exact,gaz:water_entity_dictionary
natural_resources_defense_council,NGO,exact,gaz:water_entity_dictionary
nature_conservancy,NGO,exact,gaz:water_entity_dictionary
navarro_river,Non_institutional,exact,gaz:water_bodies_dictionary
nba,Non_institutional,exact,gaz:water_infrastructure_dictionary
nevada_irrigation_district,Institutional_other,exact,gaz:water_entity_dictionary
new_bullards_bar_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
new_bullards_bar_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
new_don_pedro_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
new_exchequer_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
new_melones_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
new_melones_lake,Non_institutional,exact,gaz:water_bodies_dictionary
new_melones_lake_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
new_melones_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
new_river,Non_institutional,exact,gaz:water_bodies_dictionary
new_spicer_meadow_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
new_stone_water_district,GSA,exact,gaz:water_gsa_dictionary
new_stone_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
newell_creek_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
newport_bay,Non_institutional,exact,gaz:water_bodies_dictionary
nid,Institutional_other,exact,gaz:water_entity_dictionary
niles_cone_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
nimbus_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
nlip,Non_institutional,exact,gaz:water_infrastructure_dictionary
nma,Non_institutional,exact,gaz:water_infrastructure_dictionary
nmfs,Institutional_other,exact,gaz:water_entity_dictionary
nmwd,Institutional_other,exact,gaz:water_entity_dictionary
noaa_fisheries,Institutional_other,exact,gaz:water_entity_dictionary
north_american_subbasin,Non_institutional,exact,gaz:water_bodies_dictionary
north_bay_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
north_coast_integrated_regional_water_management,Non_institutional,exact,gaz:water_entity_dictionary
north_coast_irwm,Non_institutional,exact,gaz:water_entity_dictionary
north_coast_regional_board,Institutional_other,exact,gaz:water_entity_dictionary
north_coast_regional_water_quality_control_board,Institutional_other,exact,gaz:water_entity_dictionary
north_fork_american_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_eel_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_kaweah_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_kern_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_kings,GSA,exact,gaz:water_gsa_dictionary
north_fork_kings_gsa,GSA,exact,gaz:water_gsa_dictionary
north_fork_kings_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_mokelumne_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_rancheria_of_mono_indians,Institutional_other,exact,gaz:water_entity_dictionary
north_fork_san_gabriel_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_stanislaus_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_tule_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_fork_yuba_river,Non_institutional,exact,gaz:water_bodies_dictionary
north_kern_banking_program,Non_institutional,exact,gaz:water_infrastructure_dictionary
north_kern_water_bank,Non_institutional,exact,gaz:water_infrastructure_dictionary
north_kern_water_storage_district,GSA,exact,gaz:water_gsa_dictionary
north_kern_water_storage_district_gsa,GSA,exact,gaz:water_gsa_dictionary
north_kings,GSA,exact,gaz:water_gsa_dictionary
north_kings_gsa,GSA,exact,gaz:water_gsa_dictionary
north_marin_aqueduct,Non_institutional,exact,gaz:water_infrastructure_dictionary
north_marin_water_district,Institutional_other,exact,gaz:water_entity_dictionary
north_san_joaquin_water_conservation_district,GSA,exact,gaz:water_gsa_dictionary
north_san_joaquin_water_conservation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
northwestern_delta_mendota,GSA,exact,gaz:water_gsa_dictionary
northwestern_delta_mendota_gsa,GSA,exact,gaz:water_gsa_dictionary
nps,Institutional_other,exact,gaz:water_entity_dictionary
nrcs,Institutional_other,exact,gaz:water_entity_dictionary
nrdc,NGO,exact,gaz:water_entity_dictionary
o_neill_forebay,Non_institutional,exact,gaz:water_infrastructure_dictionary
o_neill_pumping_generating_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
o_shaughnessy_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
o_shaughnessy_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
oakdale_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
oakdale_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
ocsd,Institutional_other,exact,gaz:water_entity_dictionary
ocwd,Institutional_other,exact,gaz:water_entity_dictionary
oehha,Institutional_other,exact,gaz:water_entity_dictionary
oes,Institutional_other,exact,gaz:water_entity_dictionary
office_of_environmental_health_hazard_assessment,Institutional_other,exact,gaz:water_entity_dictionary
office_of_planning_and_research,Institutional_other,exact,gaz:water_entity_dictionary
ohlone_people,Institutional_other,exact,gaz:water_entity_dictionary
ohlone_tribe,Institutional_other,exact,gaz:water_entity_dictionary
ojai_basin_groundwater_management_agency,GSA,exact,gaz:water_gsa_dictionary
ojai_basin_groundwater_management_agency_gsa,GSA,exact,gaz:water_gsa_dictionary
olcese_water_district,GSA,exact,gaz:water_gsa_dictionary
olcese_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
old_river,Non_institutional,exact,gaz:water_infrastructure_dictionary
old_river_barriers,Non_institutional,exact,gaz:water_infrastructure_dictionary
omochumne_hartnell_water_district,GSA,exact,gaz:water_gsa_dictionary
omochumne_hartnell_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
omochumne_hartnell_water_district_gsa_cosumnes,GSA,exact,gaz:water_gsa_dictionary
omochumne_hartnell_water_district_gsa_south_american,GSA,exact,gaz:water_gsa_dictionary
opr,Institutional_other,exact,gaz:water_entity_dictionary
orange_county_sanitation_district,Institutional_other,exact,gaz:water_entity_dictionary
orange_county_water_district,Institutional_other,exact,gaz:water_entity_dictionary
orange_county_water_district_groundwater_replenishment_system,Non_institutional,exact,gaz:water_infrastructure_dictionary
oro_loma_water_district,GSA,exact,gaz:water_gsa_dictionary
oro_loma_water_district_gsa,GSA,exact,gaz:water_gsa_dictionary
oroville_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
oroville_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
otay_river,Non_institutional,exact,gaz:water_bodies_dictionary
owens_lake,Non_institutional,exact,gaz:water_bodies_dictionary
owens_river,Non_institutional,exact,gaz:water_bodies_dictionary
owens_valley_basin,Non_institutional,exact,gaz:water_bodies_dictionary
owens_valley_groundwater_authority,GSA,exact,gaz:water_gsa_dictionary
owens_valley_groundwater_authority_gsa,GSA,exact,gaz:water_gsa_dictionary
owens_valley_groundwater_authority_gsa_fish_slough,GSA,exact,gaz:water_gsa_dictionary
owens_valley_groundwater_authority_gsa_owens_valley,GSA,exact,gaz:water_gsa_dictionary
owens_valley_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
pacheco_conduit,Non_institutional,exact,gaz:water_infrastructure_dictionary
pacheco_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
pacific_coast_federation_of_fishermen_s_associations,NGO,exact,gaz:water_entity_dictionary
pacoima_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
pacoima_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
pajaro_river,Non_institutional,exact,gaz:water_bodies_dictionary
pajaro_valley_basin,Non_institutional,exact,gaz:water_bodies_dictionary
pajaro_valley_groundwater_basin,Non_institutional,exact,gaz:water_bodies_dictionary
pajaro_valley_water_management_agency,GSA,exact,gaz:water_gsa_dictionary
pajaro_valley_water_management_agency_gsa,GSA,exact,gaz:water_gsa_dictionary
pala_band_of_mission_indians,Institutional_other,exact,gaz:water_entity_dictionary
palo_alto_regional_water_quality_control_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
paradise_cut,Non_institutional,exact,gaz:water_infrastructure_dictionary
pardee_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
pardee_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
pardee_reservoir_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
parker_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
patterson_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
patterson_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
pcffa,NGO,exact,gaz:water_entity_dictionary
pcwa,Institutional_other,exact,gaz:water_entity_dictionary
pearblossom_pumping_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
perris_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
perris_reservoir,Non_institutional,exact,gaz:water_bodies_dictionary
petaluma_valley,GSA,exact,gaz:water_gsa_dictionary
