gsp_id,Republican_Vote_Share,Agr_Share_Of_GDP,exante_collab,mult_gsas,priority_category,gwsum
0007,0.63658609615741,0.237361588736123,FALSE,FALSE,high,2
0008,0.272732278493393,0.113548946042848,FALSE,TRUE,high,2
0009,0.400301109965222,0.17885672219862,TRUE,TRUE,high,2
0011,0.169358904881957,0.0365214355122364,TRUE,FALSE,high,2
0012,0.564952201844673,0.228024950729735,FALSE,TRUE,high,2
0013,0.336417673528994,0.0887024089212813,TRUE,TRUE,high,2
0014,0.347826086956522,0.111363949146993,FALSE,FALSE,high,2
0015,0.358287408532526,0.137647497523138,TRUE,TRUE,high,2
0016,0.249595701239812,0.0332562509277598,FALSE,FALSE,high,3
0017,0.442610894015825,0.0332562509277598,FALSE,FALSE,high,3
0018,0.451427765242523,0.0332562509277598,FALSE,FALSE,high,3
0019,0.323937469614507,0.0332562509277598,TRUE,FALSE,high,3
0020,0.374943508454996,0.111361471342609,FALSE,TRUE,high,2
0021,0.478401905825474,0.237680058184073,FALSE,TRUE,high,2
0022,0.480955934064725,0.113175785634244,FALSE,FALSE,high,2
0023,0.486936101209753,0.14474644900562,TRUE,FALSE,high,2
0024,0.441303885816373,0.111398882525335,TRUE,FALSE,high,2
0025,0.600427917437333,0.113858117791852,TRUE,FALSE,high,2
0026,0.422251558566554,0.11138072628498,TRUE,FALSE,high,2
0028,0.574040393769373,0.11140192961128,TRUE,FALSE,high,2
0029,0.315013429593144,0.214587621750752,TRUE,TRUE,high,2
0030,0.548840637374654,0.174569683693527,TRUE,FALSE,high,2
0031,0.133205854332289,0.111361471342609,TRUE,FALSE,high,2
0032,0.422610522947998,0.0416948999882495,TRUE,FALSE,high,2
0035,0.531666451248072,0.0342874850775575,FALSE,TRUE,high,2
0036,0.5266719104819,0.0986439356909879,TRUE,TRUE,high,2
0037,0.639308107673569,0.0986487065526554,FALSE,FALSE,high,2
0038,0.518066278321782,0.179106499591505,TRUE,TRUE,high,2
0042,0.524358366504576,0.136930819674886,TRUE,TRUE,high,2
0043,0.480596839562657,0.189353144381693,TRUE,FALSE,high,2
0044,0.635554435627168,0.0986487065526554,FALSE,FALSE,high,2
0045,0.634972333660277,0.237704154265451,FALSE,FALSE,high,2
0047,0.424303070733218,0.0612848576548747,TRUE,TRUE,high,3
0048,0.600497856267221,0.189365955815893,TRUE,FALSE,high,2
0049,0.624980124290221,0.23776908606931,FALSE,FALSE,high,2
0050,0.536019434701797,0.189365548380181,TRUE,FALSE,high,2
0051,0.51128980564197,0.0986487065526554,FALSE,FALSE,high,2
0052,0.476316709926844,0.0355781942328742,FALSE,FALSE,high,0
0053,0.537890397920466,0.0354133699036641,FALSE,TRUE,med,0
0054,0.516706780189627,0.0986487065526554,TRUE,TRUE,high,2
0056,0.554249752718605,0.189369667812617,FALSE,FALSE,high,2
0057,0.600508868197022,0.18933729904868,TRUE,FALSE,high,2
0058,0.500096321772541,0.189393137796501,TRUE,FALSE,high,2
0059,0.552607726961996,0.0885525357258763,TRUE,FALSE,high,1
0061,0.65851080043397,0.23776908606931,FALSE,FALSE,high,2
0063,0.289367210886734,0.173118992394906,TRUE,FALSE,high,2
0065,0.600512163892446,0.189393137796501,FALSE,FALSE,high,2
0067,0.598146171624613,0.0986487065526554,TRUE,FALSE,low_or_verylow,0
0070,0.429636683462794,0.0427975687421867,FALSE,FALSE,med,0
0071,0.368803061599456,0.0111309042546413,FALSE,FALSE,high,2
0072,0.212262011405805,0.0332562509277598,TRUE,FALSE,high,2
0073,0.36874697540025,0.0332562509277598,TRUE,FALSE,high,2
0074,0.234008994678025,0.0365214355122364,TRUE,FALSE,med,1
0075,0.512216110860019,0.00332331308625853,TRUE,FALSE,med,0
0076,0.504476961433466,0.00332331308625853,FALSE,FALSE,med,0
0077,0.312821365635779,0.0332562509277598,TRUE,FALSE,med,0
0078,0.433847891267883,0.0576906051659067,TRUE,FALSE,med,1
0079,0.439770517843447,0.0576906051659067,TRUE,FALSE,med,1
0080,0.474460348198024,0.0576906051659067,TRUE,FALSE,med,1
0081,0.487280754971389,0.0111309042546413,TRUE,FALSE,med,0
0082,0.571593991066123,0.0122134382317289,TRUE,FALSE,med,0
0083,0.530466077507658,0.0123552124070735,TRUE,FALSE,med,0
0084,0.304534922124265,0.0330615153382729,TRUE,FALSE,med,0
0085,0.421960516891476,0.0666266654936283,TRUE,TRUE,high,1
0086,0.365845449809452,0.0382183877583036,TRUE,TRUE,high,1
0087,0.517401583535076,0.0576906051659067,TRUE,FALSE,med,1
0088,0.577629318916885,0.121335741027941,FALSE,FALSE,med,1
0089,0.522134010504329,0.121335741027941,FALSE,FALSE,med,0
0090,0.487772385959353,0.121335741027941,FALSE,FALSE,med,0
0091,0.0633604430623319,0.000811750049478953,FALSE,TRUE,med,2
0092,0.534433999427647,0.177186859726594,TRUE,TRUE,high,2
0093,0.526067535739161,0.0111309042546413,TRUE,FALSE,low_or_verylow,0
0094,0.541548527218804,0.14035039884256,TRUE,TRUE,high,1
0095,0.690875413747692,0.0597258440174151,FALSE,TRUE,med,1
0096,0.234030083179241,0.000129384677029051,TRUE,FALSE,high,2
0097,0.677148113597619,0.17077561796657,FALSE,TRUE,med,1
0098,0.575893086064946,0.0484942977245858,TRUE,TRUE,med,1
0099,0.472283678535074,0.0382123678005155,TRUE,FALSE,med,0
0100,0.393137500252438,0.00604345546825653,TRUE,TRUE,high,1
0101,0.204957262825052,0.0127117390905843,TRUE,FALSE,high,2
0103,0.475115823326498,0.0101142036717166,TRUE,FALSE,low_or_verylow,1
0104,0.550504885647944,0.00550611231505018,TRUE,FALSE,high,1
0105,0.328151302577492,0.0922337575030198,FALSE,TRUE,med,1
0106,0.508006139618185,0.00356111850303531,TRUE,TRUE,med,1
0110,0.430944056313651,0.0853991751485623,TRUE,TRUE,high,1
0111,0.256928130804228,0.00347145754973553,TRUE,TRUE,high,1
0112,0.484103874379151,0.0864731010490339,FALSE,TRUE,med,0
0113,0.367107834381403,0.214587621750752,TRUE,FALSE,high,2
0114,0.193208004117255,0.214587621750752,TRUE,FALSE,high,2
0115,0.357650415172115,0.214558466373477,TRUE,FALSE,med,0
0116,0.148873101068433,0.214587621750752,TRUE,TRUE,med,0
0117,0.387932694263218,0.0065375021259256,TRUE,TRUE,med,1
0118,0.276031966096342,0.0342668585211721,FALSE,TRUE,high,1
0119,0.449784123116919,0.0111309042546413,FALSE,FALSE,med,1
0120,0.333002793726053,0.00127891392098788,FALSE,TRUE,med,0
0121,0.413475496712561,0.0111307726608659,TRUE,TRUE,med,1
0122,0.299451592049543,0.0492039862484544,TRUE,TRUE,med,0
0123,0.670653150489777,0.0986487065526554,TRUE,FALSE,med,1
0124,0.259808587487967,0.0352653251196937,FALSE,FALSE,high,0
0125,0.483139116323877,0.00609313821911928,FALSE,TRUE,med,2
0127,0.36702849751915,0.0424419441518702,FALSE,FALSE,med,0
0128,0.293291597380622,0.214587621750752,TRUE,TRUE,med,2
0129,0.135395514543647,0.000292513787419082,TRUE,FALSE,med,1
0130,0.236342703397512,0.0332562509277598,FALSE,FALSE,high,1
0131,0.428063792988987,0.000297037676820951,TRUE,FALSE,high,1
0132,0.208034300656443,0.0123548694650046,TRUE,FALSE,med,1
0133,0.493305802039139,0.0342668585211721,TRUE,FALSE,low_or_verylow,0
0134,0.538644983740115,0.0949014769098746,FALSE,FALSE,high,1
0136,0.210451098466119,0.0125889608750182,TRUE,FALSE,med,0
0137,0.58133491047357,0.0941687772367158,FALSE,FALSE,low_or_verylow,0
